Class-IRI	Class-Text
fma:Caudate_nucleus	caudate nucleus <sep> caudatus <sep> nucleus caudatus
fma:Right_renal_vein	right renal vein
fma:Cystic_duct	cystic duct <sep> ductus cysticus
fma:Internal_carotid_nerve_plexus	internal carotid nerve plexus <sep> internal carotid plexus <sep> plexus caroticus internus <sep> plexus nervosus caroticus internus
fma:Parasternal_lymph_node	internal mammary lymph node <sep> nodus parasternale <sep> parasternal lymph node <sep> parasternal node
fma:Plasma_membrane	cell membrane <sep> cellular membrane <sep> cytoplasmic membrane <sep> plasma membrane <sep> plasmalemma
fma:Glial_fibrillar_acidic_protein	gfap <sep> glial fibrillar acidic protein
fma:Orbicularis_oculi	orbicularis oculi <sep> musculus orbicularis oculi
fma:APUD_cell	apud cell <sep> amine precursor uptake and decarboxylation cell
fma:Thymus	thymus <sep> thymus gland
fma:Middle_phalanx_of_finger	middle phalanx of finger <sep> phalanx media manus
fma:Superficial_circumflex_iliac_artery	superficial circumflex iliac artery <sep> arteria circumflexa iliaca superficialis <sep> arteria circumflexa ilium superficialis
fma:Zygomatic_arch	zygoma <sep> zygomatic arch <sep> arcus zygomaticus
fma:Inferior	inferior
fma:Cardiac_nerve_plexus	cardiac nerve plexus <sep> cardiac plexus <sep> plexus cardiacus <sep> plexus nervosus cardiacus
fma:Primary_hair	downy hair <sep> primary hair <sep> lanugo
fma:Sigmoid_artery	inferior left colic artery <sep> sigmoid artery
fma:Pancreatic_centro_acinar_cell	pancreatic centro-acinar cell <sep> pancreatic centroacinar cell
fma:Superior_surface_of_liver	pars superior (facies diaphragmatica) (hepar) <sep> superior surface of liver
fma:Sphincter_of_hepatopancreatic_ampulla	hepatopancreatic ampullary sphincter <sep> musculus sphincter ampullae <sep> sphincter of oddi <sep> sphincter of ampulla of vater <sep> sphincter of hepatopancreatic ampulla <sep> musculus sphincter ampullae hepatopancreatica
fma:Free_ribosome	free ribosome
fma:Corpus_callosum	corpus callosum
fma:Cerebrospinal_fluid	csf <sep> cerebrospinal fluid <sep> liquor cerebrospinalis
fma:Xylose	xylose
fma:Rib	rib <sep> costa <sep> os costale (costa)
fma:Palatine_salivary_gland	palatine salivary gland
fma:Thigh	proximal segment of free lower limb <sep> thigh
fma:Lobe_of_prostate	lobe of prostate <sep> lobe of prostate gland <sep> prostatic lobe
fma:Common_palmar_digital_artery	common palmar digital artery
fma:Broad_ligament_of_uterus	broad ligament of uterus <sep> broad uterine ligament <sep> ligamentum latum uteri
fma:Parotid_gland	parotid <sep> parotid gland <sep> glandula parotidea
fma:White_adipose_tissue	adipocytus unigutturalis <sep> textus adiposus albus <sep> unilocular adipose tissue <sep> white adipose tissue <sep> white fat
fma:T_helper_cell_type_2	t-helper cell type 2 <sep> th2 cell <sep> type 2 t-helper cell <sep> type 2 helper cell
fma:Lateral_geniculate_body	lateral geniculate body <sep> lateral geniculate complex <sep> lateral geniculate nucleus <sep> corpus geniculatum laterale <sep> corpus geniculatus lateralis <sep> nucleus corporis geniculati lateralis <sep> nucleus geniculatus lateralis
fma:Gastric_gland	gastric gland
fma:Prostatic_utricle	prostatic utricle <sep> sinus pocularis <sep> uterus masculinus <sep> utricle of prostate <sep> utriculus of prostate <sep> vagina masculina <sep> utriculus prostaticus
fma:Male_urethra	male urethra <sep> urethra masculina
fma:Suppressor_effector_T_lymphocyte	suppressor effector t lymphocyte
fma:Mast_cell	histaminocyte <sep> mast cell <sep> mastocyte
fma:Triceps_surae	triceps surae <sep> musculus triceps surae
fma:External_ear	auricular region <sep> auricular region of head <sep> external ear <sep> auris externa
fma:Inferior_mesenteric_vein	inferior mesenteric vein <sep> vena mesenterica inferior
fma:Corpus_luteum	corpus luteum <sep> corpus luteum of ovary
fma:Vastus_lateralis	vastus lateralis <sep> musculus vastus lateralis
fma:Cuboid_bone	cuboid <sep> cuboid bone <sep> os cuboideum
fma:Totipotent_stem_cell	totipotent stem cell <sep> totipotential stem cell
fma:Skin_of_prepuce_of_penis	foreskin of penis <sep> preputial skin <sep> skin of prepuce of penis
fma:Set_of_laryngeal_muscles	laryngeal muscles <sep> laryngeal muscles set <sep> muscle group of larynx <sep> set of laryngeal muscles
fma:Zygote	zygote
fma:Membranous_labyrinth	membranous labyrinth <sep> labyrinthus membranaceus
fma:Left_main_bronchus	left bronchus <sep> left main bronchus <sep> left principal bronchus <sep> bronchus principalis sinister
fma:Metathalamus	geniculate group of the dorsal thalamus <sep> metathalamus <sep> nuclei metathalami
fma:Mediastinal_lymph_node	mediastinal lymph node <sep> mediastinal node
fma:Semitendinosus	semitendinosus <sep> semitendinosus muscle <sep> musculus semitendinosus
fma:Primordial_germ_cell	gonocyte <sep> primitive germ cell <sep> primordial germ cell
fma:Inflow_part_of_right_atrium	inflow part of right atrium <sep> inflow tract of right atrium <sep> posterior part of right atrium <sep> sinus venarum
fma:Trunk_of_right_pulmonary_artery	right pulmonary arterial trunk <sep> right pulmonary artery(trunk) <sep> trunk of right pulmonary arterial tree <sep> trunk of right pulmonary artery
fma:Thoracic_part_of_esophagus	thoracic esophagus <sep> thoracic part of esophagus <sep> thoracic part of oesophagus <sep> pars thoracica (oesophagus) <sep> pars thoracica oesophageae
fma:Bipolar_neuron	bipolar neuron
fma:Capsule_of_parathyroid_gland	capsule of parathyroid gland <sep> parathyroid gland capsule
fma:Interneuron	interneuron
fma:Ependyma_of_fourth_ventricle	ependyma of fourth ventricle
fma:Anal_gland	anal gland
fma:Amacrine_cell	amacrine cell <sep> amacrine cell of retina
fma:Fibrous_capsule_of_spleen	capsule of spleen <sep> fibroelastic coat of spleen <sep> fibrous capsule of spleen <sep> malpighian capsule <sep> splenic capsule <sep> tunica fibrosa (splen)(lien) <sep> capsula splenica <sep> tunica fibrosa splenica
fma:Middle_cardiac_vein	lesser cardiac vein <sep> middle cardiac vein <sep> posterior interventricular vein <sep> vena cardiaca media <sep> vena cordis media <sep> vena interventricularis posterior
fma:Arytenoid_cartilage	arytenoid cartilage <sep> cartilago arytenoidea
fma:Deltoid	deltoid <sep> musculus deltoideus
fma:Trans_Golgi_network	trans golgi network <sep> trans face golgi network
fma:Uncus	pyriform area (crosby) <sep> uncus <sep> uncus hippocampi
fma:Fibrocartilage	fibrocartilage
fma:Lymph_node_of_neck	cervical lymph node <sep> lymph node of neck
fma:Circular_fold_of_small_intestine	circular fold of small intestine <sep> kerckring's valve
fma:Midgut	midgut
fma:Electrical_synapse	electrical synapse
fma:Metamyelocyte	metamyelocyte
fma:Somatotroph	growth hormone secreting cell <sep> somatotrope cell <sep> somatotroph
fma:Caudate_lobe_of_liver	caudate lobe of liver <sep> couinaud hepatic segment i <sep> hepatovenous segment i <sep> lobus caudatus <sep> posterior hepatic segment i <sep> posterior liver <sep> posterior part of liver <sep> segment i of liver <sep> spiegelian lobe <sep> spigel lobe <sep> lobus caudatus hepatis <sep> pars posterior hepatis <sep> segmentum hepatis i
fma:Tendon	tendon <sep> tendo
fma:Stroma_of_ovarian_cortex	ovarian cortical stroma <sep> stroma of ovarian cortex
fma:Lateral_corticospinal_tract	lateral corticospinal tract <sep> lateral pyramidal tract <sep> tractus corticospinalis (pyramidalis) lateralis <sep> tractus corticospinalis lateralis
fma:Auditory_ossicle	auditory ossicle
fma:Epithelium_of_vagina	epithelium of vagina <sep> vaginal epithelium
fma:Integument	integument <sep> the integument <sep> integumentum commune
fma:Neuro_endocrine_system	neuro-endocrine system
fma:Anterior_parietal_artery	anterior parietal artery <sep> arteria parietalis anterior
fma:Thoracic_lymph_node	lymph node of thorax <sep> thoracic lymph node
fma:Right_ovary	right ovary
fma:Nutrient_canal	nutrient canal <sep> canalis nutricius <sep> canalis nutriens
fma:Set_of_cervical_glands	cervical glands <sep> cervical glands set <sep> set of cervical glands <sep> glandulae cervicales
fma:Epithelium_of_terminal_bronchiole	epithelium of terminal bronchiole <sep> terminal bronchiole epithelium
fma:Pia_arachnoid	arachnoid mater and pia mater <sep> cluster of leptomeninges <sep> pia-arachnoid <sep> pia-arachnoid of neuraxis <sep> arachnoidea mater et pia mater
fma:Prostate	prostate <sep> prostata <sep> prostata (glandula prostatica)
fma:Mucosa_of_anal_canal	anal canal mucosa <sep> anal mucosa <sep> anal mucous membrane <sep> mucosa of anal canal <sep> mucous membrane of anal canal
fma:Autonomic_nervous_system	autonomic nervous system <sep> visceral nervous system
fma:Cytoskeletal_protein	cytoskeletal protein
fma:Wrist_joint	joint of wrist <sep> radiocarpal joint <sep> wrist joint <sep> articulatio radiocarpalis
fma:Pyloric_orifice	lumen of pylorus <sep> pyloric orifice <sep> pyloric ostium of stomach <sep> ostium pyloricum
fma:Proteoglycan	proteoglycan
fma:Cutaneous_vein	cutaneous vein
fma:Infundibulum_of_hair_follicle	dermal piliary canal <sep> hair follicle infundibulum <sep> infundibulum of hair follicle
fma:Multipotent_stem_cell	multipotent cell <sep> multipotent stem cell <sep> multipotential stem cell
fma:Coccyx	coccyx <sep> coccyx [coccygeal vertebrae i-iv] <sep> tailbone <sep> coccyx [vertebrae coccygeae i-iv] <sep> os coccygis
fma:Mucosa_of_esophagus	esophageal mucosa <sep> esophagus mucosa <sep> mucosa of esophagus <sep> mucous membrane of oesophagus <sep> muscularis mucosae of oesophagus <sep> oesophageal mucosa <sep> lamina muscularis mucosae oesophageae <sep> tunica mucosa oesophageae
fma:Ligament_of_larynx	laryngeal ligament <sep> ligament of larynx
fma:Chondroitin_sulfate	chondroitin sulfate
fma:Keratinized_squamous_cell_of_esophagus	esophageal squamous cell <sep> keratinized squamous cell of esophagus
fma:Mucoid_tissue	mucoid tissue <sep> mucous connective tissue <sep> mucous tissue
fma:Basal_zone_of_heart	anatomical base of heart <sep> basal zone of heart <sep> base of heart <sep> basis cordis
fma:Inner_phalangeal_cell_of_cochlea	inner phalangeal cell of cochlea <sep> inner supporting cell
fma:Optic_disc	optic disc <sep> discus nervi optici
fma:Inferior_frontal_gyrus	inferior frontal convolution <sep> inferior frontal gyrus <sep> gyrus f3 <sep> gyrus frontalis inferior <sep> gyrus frontalis tertius <sep> regio subfrontalis
fma:Tyrosine	tyrosine
fma:Pseudostratified_ciliated_columnar_epithelium	epithelium pseudostratificatum columnare ciliatum (trachea et bronchi) <sep> pseudostratified ciliated columnar epithelium
fma:Acidophil_cell	acidophil <sep> acidophil cell <sep> acidophilic cell
fma:Superficial_cervical_artery	superficial cervical artery
fma:Aspartic_acid	aspartic acid
fma:Interphalangeal_joint_of_toe	interphalangeal joint of foot <sep> interphalangeal joint of toe
fma:Early_endosome	early endosome <sep> endocytic vesicle <sep> endocytotic vesicle
fma:Common_cardinal_vein	common cardinal vein
fma:Lower_lobe_of_lung	lower lobe of lung <sep> lobus inferior <sep> lobus inferior pulmonis
fma:Epithelium_of_bronchiole	bronchiole epithelium <sep> epithelium of bronchiole
fma:Fusiform_cell	fusiform cell
fma:Round_ligament_of_uterus	hunter's ligament <sep> round ligament of uterus <sep> ligamentum teres uteri
fma:Infra_orbital_artery	infra-orbital artery <sep> arteriae infraorbitalis
fma:Set_of_renal_pyramids	medulla of kidney <sep> medullary pyramids <sep> renal medulla <sep> renal pyramids <sep> renal pyramids set <sep> set of medullary pyramids <sep> set of renal pyramids <sep> pyramides renales
fma:Amygdala	amygdala <sep> amygdaloid body <sep> amygdaloid complex <sep> amygdaloid nuclear complex <sep> amygdaloid nuclear groups <sep> amygdaloid nucleus <sep> archistriatum <sep> corpus amygdalae <sep> corpus amygdaloideum
fma:Renal_vein	renal vein <sep> renal venous tree
fma:Epinephrine	adrenalin <sep> adrenaline <sep> epinephrine
fma:Hepatic_lobule	hepatic lobule <sep> lobulus hepaticus
fma:Coronary_ligament	coronary ligament <sep> coronary ligament of liver <sep> ligamentum coronarium <sep> ligamentum coronarium hepatis
fma:Anterior_limiting_lamina_of_cornea	anterior limiting lamina of cornea <sep> bowman's anterior elastic lamina <sep> bowman's layer <sep> bowman's membrane <sep> lamina limitans anterior (cornea) <sep> reichert's membrane <sep> lamina limitans anterior corneae
fma:Maxilla	maxilla <sep> upper jaw bone
fma:Hair_root	hair root <sep> root of hair
fma:Sublingual_artery	sublingual artery <sep> sublingual branch of lingual artery <sep> arteria sublingualis
fma:Thyroepiglotticus	pars thyroepiglottica (musculus thyroarytenoideus) <sep> thyro-epiglottic part of thyro-arytenoid <sep> thyroepiglottic muscle <sep> thyroepiglotticus <sep> pars thyroepiglottica musculus thyroarytenoidei
fma:Segmentation	segmentation
fma:Hemisphere_of_cerebellum	cerebellum hemisphere <sep> hemisphere of cerebellum <sep> hemisphere of cerebellum [h ii - h x] <sep> hemispherium cerebelli [h ii - h x]
fma:Musculature_of_face	facial muscles <sep> muscle group of face <sep> musculature of face <sep> set of facial muscles <sep> set of muscles of face <sep> musculi faciei
fma:Pancreatic_islet	islet of langerhans <sep> pancreatic insula <sep> pancreatic islet
fma:Ganglion_cell	ganglion cell
fma:Lateral_thyrohyoid_ligament	lateral thyrohyoid ligament <sep> ligamentum thyrohyoideum laterale
fma:Adrenal_cortex	adrenal cortex <sep> cortex (glandula suprarenalis) <sep> cortex of adrenal gland <sep> cortex of suprarenal gland <sep> suprarenal cortex <sep> cortex glandulae suprarenalis
fma:Longissimus_capitis	longissimus capitis <sep> musculus longissimus capitis
fma:Costochondral_joint	articulatio costochondralis <sep> chondrocostal synchondrosis <sep> costochondral joint <sep> costochondral junction <sep> costochondral synchondrosis
fma:Arm	arm <sep> brachial region <sep> proximal segment of free upper limb <sep> brachium <sep> regio brachialis
fma:Vomer	vomer <sep> vomer bone
fma:Interventricular_foramen	interventricular foramen <sep> foramen interventriculare
fma:Bronchial_tree	bronchial tree <sep> arbor bronchialis
fma:Endocrine_pancreas	endocrine pancreas <sep> pars endocrina pancreatis
fma:L_selectin	l-selectin <sep> lymphocyte homing receptor
fma:B_lymphocyte	b lymphocyte <sep> b-lymphocyte
fma:Infraclavicular_part_of_chest	infraclavicular part of chest <sep> infraclavicular region
fma:Centromedian_nucleus	central magnocellular nucleus of thalamus <sep> central nucleus-1 <sep> centre median nucleus <sep> centromedian nucleus <sep> centromedian nucleus of thalamus <sep> centromedian thalamic nucleus <sep> noyau centre median of luys <sep> centrum medianum <sep> centrum medianum thalami <sep> nucleus centralis centralis <sep> nucleus centralis thalami (hassler) <sep> nucleus centri mediani thalami <sep> nucleus centromedianus <sep> nucleus centromedianus thalami <sep> nucleus centrum medianum
fma:Spleen	spleen <sep> lien <sep> splen
fma:Preganglionic_neuron	preganglionic neuron <sep> visceral efferent neuron
fma:Spinal_accessory_nerve	accessory nerve <sep> accessory nerve [xi] <sep> cervical accessory nerve <sep> spinal accessory nerve <sep> spinal accessory nerve tree <sep> spinal part of accessory nerve <sep> willis' nerve <sep> nervus accessorius [xi] <sep> pars spinalis nervus accessorius <sep> radix spinalis nervus accessorius
fma:Intercellular_junction	intercellular junction
fma:Set_of_carpometacarpal_joints	carpometacarpal joints <sep> carpometacarpal joints set <sep> set of carpometacarpal joints <sep> articulationes carpometacarpales
fma:Collateral_sulcus	collateral fissure <sep> collateral sulcus <sep> sulcus collateralis
fma:Temporal_vein	temporal vein
fma:Midbrain_tectum	midbrain tectum <sep> neuraxis tectum
fma:Intralaminar_nuclear_group_of_thalamus	intralaminar nuclear group <sep> intralaminar nuclear group of thalamus <sep> intralaminar nuclei of thalamus <sep> intralaminar thalamic nuclei <sep> nonspecific thalamic system <sep> nuclei intralaminares (thalami) <sep> nuclei intralaminares thalami
fma:Root_of_spinal_nerve	root of spinal nerve <sep> spinal nerve root <sep> spinal neural root
fma:Hypoglossal_nerve_nucleus	hypoglossal nerve nucleus <sep> hypoglossal nucleus <sep> nucleus of hypoglossal nerve <sep> twelfth cranial nerve nucleus <sep> nucleus nervi hypoglossi
fma:Columnar_cell	columnar cell
fma:Red_pulp_of_spleen	red pulp <sep> red pulp of spleen <sep> splenic red pulp <sep> pulpa rubra
fma:Guanyl_nucleotide_binding_protein	g-protein <sep> guanyl nucleotide binding protein
fma:Erythrocyte	anucleate erythrocyte <sep> erythrocyte <sep> red blood cell <sep> red blood corpuscle
fma:Epithelium_of_choroid_plexus	epithelium of choroid plexus
fma:Endodermal_cell	endoderm cell <sep> endodermal cell
fma:Semen	semen
fma:Smooth_muscle_tissue_of_prostate	muscular tissue of prostate <sep> smooth muscle tissue of prostate <sep> substantia muscularis prostatae
fma:Odontoblast	odontoblast
fma:Paranasal_sinus	paranasal sinus
fma:Appendix	appendix <sep> vermiform appendix <sep> appendix vermiformis
fma:Simple_cuboidal_epithelium	epithelium simplex cuboideum <sep> simple cuboidal epithelium
fma:Pituicyte	pituicyte
fma:Set_of_pelvic_lymph_nodes	pelvic lymph nodes <sep> pelvic lymph nodes set <sep> set of pelvic lymph nodes <sep> nodi lymphoidei pelvis
fma:Processus_cochleariformis	processus cochleariformis
fma:Plasma_transmembrane_protein	cell transmembrane protein <sep> plasma transmembrane protein <sep> transmembrane protein
fma:Epithelium_of_bronchus	bronchial epithelium <sep> epithelium of bronchus
fma:Fibrous_capsule_of_kidney	capsule of kidney <sep> fibrous capsule of kidney <sep> capsula fibrosa renis
fma:Sternohyoid	sternohyoid <sep> musculus sternohyoideus
fma:Sacrococcygeal_joint	sacrococcygeal joint <sep> articulatio sacrococcygea
fma:Transverse_plane	transverse plane
fma:Mesoderm	mesoderm
fma:Cricothyroid_ligament	cricothyroid ligament
fma:Distal_phalanx_of_toe	distal phalanx of toe <sep> phalanx distalis pedis
fma:Cell_morphology	cell morphology
fma:Rectus_femoris	musculus rectos femoris <sep> rectus femoris <sep> musculus rectus femoris
fma:Pyramidalis	pyramidalis <sep> pyramidalis muscle <sep> musculus pyramidalis
fma:Hippocampal_sulcus	dentate fissure <sep> hippocampal fissure <sep> hippocampal sulcus <sep> sulcus hippocampalis <sep> sulcus hippocampi
fma:Inferior_suprarenal_artery	inferior suprarenal artery <sep> arteria suprarenalis inferior
fma:Rostral	rostral
fma:Lateral_wall_of_nasopharynx	lateral nasopharynx <sep> lateral wall of nasopharynx
fma:Calcaneus	calcaneus <sep> os calcis
fma:Eotaxin_3	ccl26 <sep> eotaxin-3
fma:Anal_canal	anal canal <sep> anal canal viewed anatomically <sep> anatomical anal canal <sep> canalis analis
fma:Set_of_costovertebral_joints	costovertebral joints <sep> costovertebral joints set <sep> set of costovertebral joints <sep> articulationes costovertebrales
fma:Myoepithelial_cell	myoepithelial cell <sep> myoepitheliocyte
fma:Islet_cell	islet cell
fma:Lamina_propria	lamina propria
fma:Set_of_regional_lymph_nodes	regional lymph nodes <sep> regional lymph nodes set <sep> set of regional lymph nodes <sep> nodi lymphoidei regionales
fma:Thymosin	thymosin
fma:Portion_of_epithelium	epithelial tissue <sep> epithelium <sep> portion of epithelium <sep> textus epithelialis
fma:Sternoclavicular_joint	sternoclavicular joint <sep> articulatio sternoclavicularis
fma:Myeloid_stem_cell	myeloid cell <sep> myeloid stem cell
fma:Testis	testicle <sep> testis <sep> orchis <sep> testis (orchis)
fma:Great_cardiac_vein	great cardiac vein <sep> vena cardiaca magna <sep> vena cordis magna
fma:Lamina_lucida	electron-lucent layer of basal lamina of connective tissue <sep> lamina lucida <sep> lamina rara
fma:Lesser_omentum	lesser omentum <sep> omentum minus
fma:Apex_of_lung_viewed_anatomically	anatomical apex of lung <sep> apex of lung viewed anatomically <sep> apex pulmonis (pulmonalis) <sep> pulmonary viewed anatomically apex
fma:Set_of_nails_of_fingers	finger nails <sep> nails of fingers <sep> set of nails of fingers
fma:Hip_bone	bone of pelvic girdle <sep> coxal bone <sep> hip bone <sep> innominate bone <sep> pelvic bone <sep> os coxae
fma:Inner_cell_mass	embryoblast <sep> inner cell mass
fma:Set_of_gastric_pits	gastric pits <sep> gastric pits set <sep> set of gastric pits
fma:Histidine	histidine
fma:Follicular_dendritic_cell	follicular dendritic cell
fma:Endosteum	endosteum
fma:Posterior_surface_of_kidney	facies posterior (ren) <sep> posterior surface of kidney <sep> facies posterior renis
fma:Popliteal_vein	popliteal vein <sep> vena poplitea
fma:Lower_lobe_of_left_lung	inferior lobe of left lung <sep> left lower lobe <sep> left lower lobe of lung <sep> lobus inferior (pulmo sinister) <sep> lower lobe of left lung <sep> lobus inferior pulmonis sinistri
fma:Hemopoietic_stem_cell	blood-forming stem cell <sep> hematopoietic stem cell <sep> hemopoietic stem cell
fma:Phosphatidylinositol	phosphatidylinositol
fma:Adipose_tissue	adipose tissue <sep> fatty tissue
fma:Mucosa_associated_lymphoid_tissue	epithelio-lymphoid tissue <sep> malt <sep> mucosa-associated lymphoid tissue
fma:Set_of_arteries	arteries <sep> arteries set <sep> set of arteries <sep> arteriae
fma:Gastrophrenic_ligament	gastrophrenic ligament <sep> ligamentum gastrophrenicum
fma:Cartilage_tissue	cartilage tissue <sep> cartilaginous tissue
fma:Left_lung	left lung <sep> pulmo sinister
fma:Interphalangeal_joint_of_toe	interphalangeal joint of foot <sep> interphalangeal joint of toe
fma:Subdivision_of_external_carotid_artery	branch of external carotid artery <sep> external carotid arterial subdivision <sep> subdivision of external carotid artery
fma:Set_of_anal_sinuses	anal sinuses <sep> anal sinuses set <sep> set of anal sinuses
fma:Sural_artery	sural artery
fma:Superior_oblique	obliquus superior <sep> superior oblique <sep> musculus obliquus superior <sep> musculus obliquus superior bulbi
fma:Neutrophil	heterophile leucocyte <sep> neutrophil <sep> neutrophil leucocyte <sep> neutrophil leukocyte <sep> neutrophile <sep> polymorphonuclear leucocyte <sep> polymorphonuclear leukocyte
fma:Epithelioid_cell	epithelioid cell
fma:Adenine	adenine
fma:Skin_of_prepuce_of_penis	foreskin of penis <sep> preputial skin <sep> skin of prepuce of penis
fma:Tuberculum_sellae	tuberculum sellae
fma:Set_of_olfactory_nerves	olfactory nerves <sep> olfactory nerves set <sep> set of olfactory nerves
fma:Set_of_ciliary_processes	ciliary processes <sep> ciliary processes set <sep> set of ciliary processes <sep> processus ciliares
fma:Posterior_longitudinal_ligament	posterior longitudinal ligament <sep> ligamentum longitudinale posterius
fma:Lateral_lobe_of_prostate	lateral lobe of prostate <sep> lateral lobe of prostate gland
fma:Glucose	glucose
fma:Episcleral_layer_of_eyeball	episclera <sep> episcleral layer <sep> episcleral layer of eyeball <sep> lamina episcleralis
fma:Scaffold_protein	scaffold protein
fma:Eotaxin_2	ccl24 <sep> eotaxin-2
fma:Renal_corpuscle	corpusculum renale <sep> malphigian corpuscle <sep> renal corpuscle
fma:Dentate_gyrus_of_hippocampal_formation	area dentata <sep> dentate gyrus <sep> dentate gyrus of hippocampal formation <sep> fascia dentata <sep> fascia dentata (crosby) <sep> fascia dentata hippocampi (shantha) <sep> gyrus dentatus
fma:Solitary_tract_nuclear_complex	nuclei of solitary tract <sep> nucleus of tractus solitarius <sep> solitary nuclei <sep> solitary nucleus <sep> solitary tract nuclear complex <sep> nts <sep> nucleus fasciculus solitarius <sep> nucleus solitarius <sep> nucleus tracti solitarii <sep> nucleus tractus solitarii
fma:Pyramidal_cell	pyramidal cell
fma:Multilaminar_epithelium	multilaminar epithelium <sep> stratified epithelium
fma:Inferior_sagittal_sinus	inferior sagittal sinus <sep> sinus sagittalis inferior
fma:Androgen	androgen
fma:Parieto_occipital_sulcus	parieto-occipital fissure <sep> parieto-occipital incisure <sep> parieto-occipital sulcus <sep> parietooccipital sulcus <sep> fissura parieto-occipitalis <sep> sulcus parieto-occipitalis <sep> sulcus parieto-occipitalis medialis <sep> sulcus parietoccipitalis <sep> sulcus parietooccipitalis
fma:Subdivision_of_internal_carotid_artery	branch of internal carotid artery <sep> internal carotid arterial subdivision <sep> subdivision of internal carotid artery
fma:Actin_binding_protein	actin-binding protein
fma:Vestibular_sensory_cell	vestibular hair cell <sep> vestibular sensory cell
fma:Vitreous_body	vitreous body <sep> corpus vitreum
fma:Anterior_cruciate_ligament	anterior cruciate ligament <sep> ligamentum cruciatum anterius
fma:Posterior_cochlear_nucleus	dorsal cochlear nucleus <sep> dorsal division of cochlear nucleus <sep> posterior cochlear nucleus <sep> nucleus cochlearis dorsalis <sep> nucleus cochlearis posterior
fma:External	external
fma:Tuber_cinereum	tuber cinereum
fma:Inferior_epigastric_artery	inferior epigastric artery <sep> arteria epigastrica inferior
fma:Galactose	galactose
fma:Cis_Golgi_network	cis golgi network <sep> cis face golgi network
