Entity-IRI	Entity-Lexicon
fma:Abducens_nucleus	abducens nerve nucleus <sep> abducens nucleus <sep> abducent nucleus <sep> nucleus of abducens nerve <sep> nucleus of abducens nerve (vi) <sep> sixth cranial nerve nucleus <sep> nucleus abducens <sep> nucleus nervi abducentis
fma:Nucleus_of_cranial_nerve	cranial neural nucleus <sep> nucleus of cranial nerve <sep> nucleus nervi cranialis
fma:Abductor_pollicis_longus	abductor pollicis longus <sep> musculus abductor pollicis longus
fma:Deep_muscle_of_posterior_compartment_of_forearm	deep muscle of posterior compartment of forearm
fma:Accessory_pancreatic_duct	accessory pancreatic duct <sep> duct of santorini <sep> santorini's duct <sep> ductus pancreaticus accessorius
fma:Pancreatic_duct	pancreatic duct <sep> ductus pancreaticus
fma:Acellular_anatomical_structure	acellular anatomical structure
fma:Acellular_membrane	acellular membrane
fma:Acetabular_part_of_hip_bone	acetabular part of hip bone <sep> acetabulum
fma:Zone_of_hip_bone	hip bone zone <sep> zone of hip bone <sep> zone of innominate bone
fma:Acidic_glycosphingolipid	acidic glycosphingolipid
fma:Glycosphingolipid	glycosphingolipid
fma:Acidophil_cell	acidophil <sep> acidophil cell <sep> acidophilic cell
fma:Chromophilic_cell	chromophil cell <sep> chromophilic cell
fma:Acidophil_cell_of_pars_distalis_of_adenohypophysis	acidophil cell of pars anterior of adenohypophysis <sep> acidophil cell of pars distalis of adenohypophysis <sep> acidophil of pars anterior of adenohypophysis <sep> acidophil of pars distalis of adenohypophysis <sep> pituitary alpha cell
fma:Chromophil_cell_of_pars_distalis_of_adenohypophysis	chromophil cell of adenohypophysis <sep> chromophil cell of pars distalis of adenohypophysis
fma:Acinar_cell	acinar cell
fma:General_anatomical_term	general anatomical term
fma:Acinus	acinus
fma:Lobular_organ_component	lobular organ component
fma:Acromioclavicular_joint	acromioclavicular joint <sep> articulatio acromioclavicularis
fma:Synovial_joint_of_pectoral_girdle	pectoral girdle joint <sep> synovial joint of pectoral girdle
fma:Acromion	acromion
fma:Zone_of_scapula	scapular zone <sep> zone of scapula
fma:Actin	actin
fma:Motor_protein	motor protein
fma:Actin_binding_protein	actin-binding protein
fma:Protein	protein
fma:Actin_filament	actin filament <sep> microfilament <sep> microfilamentum
fma:Cytoskeletal_filament	cytoskeletal filament
fma:Actin_myofilament	actin myofilament <sep> myofilamentum tenue <sep> striated muscle thin filament <sep> thin filament
fma:Adenine	adenine
fma:Purine	purine
fma:Adenohypophysis	adenohypophysis <sep> anterior lobe (hypophysis) <sep> anterior lobe of hypophysis <sep> anterior lobe of pituitary <sep> anterior lobe of pituitary gland <sep> pituitary gland, anterior lobe <sep> lobus anterior (glandula pituitaria) <sep> lobus anterior hypophysis
fma:Anatomical_lobe	anatomical lobe <sep> lobus
fma:Adherens_junction	adherens junction <sep> adhesive junction
fma:Anchoring_cell_junction	adhesive cell junction <sep> anchoring cell junction
fma:Adhesive_belt	adhesion belt <sep> adhesive belt <sep> zonula adherens
fma:Cell_to_cell_adherens_junction	cell to cell adherens junction
fma:Adhesive_strip	adhesive strip <sep> fascia adherens
fma:Adipocyte	adipocyte <sep> adipose cell <sep> fat cell <sep> lipocyte
fma:Connective_tissue_cell	cell of connective tissue <sep> connective tissue cell
fma:Adipose_tissue	adipose tissue <sep> fatty tissue
fma:Dense_irregular_connective_tissue	dense irregular connective tissue <sep> typus irregularis (textus connectivus collagenosus compactus)
fma:Adrenal_cortex	adrenal cortex <sep> cortex (glandula suprarenalis) <sep> cortex of adrenal gland <sep> cortex of suprarenal gland <sep> suprarenal cortex <sep> cortex glandulae suprarenalis
fma:Cortex	cortex
fma:Adrenal_gland	adrenal gland <sep> suprarenal gland <sep> glandula suprarenalis
fma:Corticomedullary_organ	corticomedullary organ
fma:Adrenal_medulla	adrenal medulla <sep> medulla (glandula suprarenalis) <sep> medulla of suprarenal gland <sep> suprarenal medulla <sep> medulla glandulae suprarenalis
fma:Medulla	medulla
fma:Adrenocorticotropin	acth <sep> adrenocorticotropin
fma:Hormone	hormone
fma:Adventitia	adventitia <sep> tunica externa
fma:Organ_component_layer	organ component layer <sep> lamina
fma:Adventitial_cell	adventitial cell
fma:Afferent_neuron	afferent neuron
fma:Neuron	nerve cell <sep> neuron <sep> neurone
fma:Aggregated_lymphoid_follicle_of_small_intestine	aggregated lymphoid follicle of small intestine <sep> peyer's patch
fma:Gut_associated_lymphoid_tissue	gut-associated lymphoid tissue
fma:Alanine	alanine
fma:Amino_acid	amino acid
fma:Alimentary_system	alimentary system <sep> digestive system <sep> systema digestorium
fma:Organ_system	organ system
fma:Alpha_adrenergic_receptor	alpha adrenergic receptor
fma:Catecholamine_receptor	catecholamine receptor
fma:Alpha_cell	alpha cell
fma:Alveolar_duct	alveolar duct <sep> ductus alveolaris
fma:Alveolar_epithelial_cell	alveolar cell <sep> alveolar epithelial cell <sep> pneumocyte <sep> pneumonocyte
fma:Alveolar_macrophage	alveolar macrophage
fma:Histiocyte	histiocyte <sep> histocyte
fma:Alveolar_sac	alveolar sac <sep> sacculus alveolaris
fma:Alveolus	alveolus
fma:Alveus_of_hippocampus	alveus of hippocampus <sep> neuraxis alveus
fma:Segment_of_white_matter_of_neuraxis	segment of white matter of neuraxis
fma:Amacrine_cell	amacrine cell <sep> amacrine cell of retina
fma:Neuron_of_retina	neuron of retina <sep> retina neuron <sep> retinal cell
fma:Ameloblast	ameloblast
fma:General_ecto_epithelial_cell	general ecto-epithelial cell
fma:Biological_macromolecule	biological macromolecule
fma:Amnion	amnion
fma:Extra_embryonic_structure	extra-embryonic structure
fma:Amniotic_cavity	amniotic cavity
fma:Embryonic_space	embryonic space
fma:Amphiarthrosis	amphiarthrosis
fma:Ampullary_crest_of_semicircular_duct	ampullary crest <sep> ampullary crest of semicircular duct <sep> crista ampullaris
fma:Organ_crest	organ crest
fma:Amygdala	amygdala <sep> amygdaloid body <sep> amygdaloid complex <sep> amygdaloid nuclear complex <sep> amygdaloid nuclear groups <sep> amygdaloid nucleus <sep> archistriatum <sep> corpus amygdalae <sep> corpus amygdaloideum
fma:Basal_ganglion_of_telencephalon	basal ganglion of telencephalon
fma:Anal_canal	anal canal <sep> anal canal viewed anatomically <sep> anatomical anal canal <sep> canalis analis
fma:Organ_with_organ_cavity	organ with organ cavity
fma:Anal_column	anal column <sep> column of morgagni
fma:Zone_of_anal_canal_viewed_anatomically	anal canal viewed anatomically zone <sep> zone of anal canal viewed anatomically
fma:Anal_gland	anal gland
fma:Organ_component_gland	glandula <sep> organ component gland
fma:Anal_part_of_perineum	anal part of perineum <sep> anal region <sep> anal triangle <sep> regio analis
fma:Subdivision_of_perineum	perineum subdivision <sep> subdivision of perineum
fma:Anal_sinus	anal crypt <sep> anal sinus
fma:Organ_cavity_subdivision	organ cavity subdivision
fma:Anastomosis	anastomosis
fma:Zone_of_continuity	continuity zone <sep> zone of continuity
fma:Anatomical_boundary_entity	anatomical boundary entity
fma:Anatomical_cavity	anatomical cavity
fma:Anatomical_space	anatomical space
fma:Anatomical_cluster	anatomical cluster
fma:Anatomical_compartment	anatomical compartment
fma:Anatomical_compartment_space	anatomical compartment space <sep> space of anatomical compartment
fma:Anatomical_conduit	anatomical conduit
fma:Anatomical_conduit_space	anatomical conduit space
fma:Anatomical_coordinate	anatomical axis <sep> anatomical coordinate
fma:Anatomical_location	anatomical location
fma:Anatomical_entity	anatomical entity
fma:Anatomical_entity_template	anatomical entity template
fma:Standard_FMA_class	standard fma class
fma:Anatomical_fold	anatomical fold
fma:Region_of_organ_component	organ component region <sep> region of organ component
fma:Anatomical_junction	anatomical junction
fma:Anatomical_line	anatomical line
fma:Anatomical_point	anatomical point
fma:Anatomical_surface	anatomical surface
fma:Cardinal_cell_part	cardinal cell part <sep> normal cell part <sep> subcellular anatomical structure
fma:Nucleated_cell	nucleated cell
fma:Organ	organ
fma:Organ_system_subdivision	organ system subdivision
fma:Subdivision_of_cardinal_body_part	principal body part subdivision <sep> subdivision of cardinal body part
fma:Subdivision_of_head	head region <sep> head subdivision <sep> region of head <sep> subdivision of head
fma:Trunk_of_systemic_vein	systemic venous trunk <sep> trunk of systemic vein
fma:Anatomical_line_of_liver	anatomical line of liver
fma:Anatomical_line_of_tooth	anatomical line of tooth
fma:Spatial_association_relation	spatial association relation
fma:Anatomical_orifice	anatomical orifice <sep> anatomical ostium
fma:Anatomical_plane	anatomical plane <sep> fiat anatomical surface
fma:Anatomical_relation	anatomical relation
fma:Non_physical_anatomical_entity	non-physical anatomical entity
fma:Anatomical_set	anatomical set
fma:Anatomical_valve	anatomical valve <sep> valva
fma:Organ_component	organ component
fma:Anchored_anatomical_plane	anchored anatomical plane <sep> anchored fiat anatomical surface
fma:Intercellular_junction	intercellular junction
fma:Androgen	androgen
fma:Steroid_hormone	steroid hormone
fma:Angular_artery	angular artery <sep> arteria angularis
fma:Facial_branch_of_facial_artery	facial branch of facial artery
fma:Angular_gyrus	angular gyrus <sep> middle part of inferior parietal lobule <sep> preoccipital gyrus <sep> gyrus angularis <sep> gyrus parietalis inferior
fma:Gyrus_of_neuraxis	gyrus of neuraxis <sep> neuraxis gyrus
fma:Ankle_joint	ankle joint <sep> talocrural joint <sep> articulatio talocruralis
fma:Synovial_joint_of_free_limb_segment	synovial joint of free limb segment
fma:Anocutaneous_line	anocutaneous line <sep> linea anocutanea
fma:Anterior	anterior
fma:Primary_anatomical_coordinate	primary anatomical coordinate
fma:Anterior_auricular_vein	anterior auricular vein
fma:Tributary_of_retromandibular_vein	retromandibular venous tributary <sep> tributary of retromandibular vein
fma:Anterior_cerebellar_incisure	anterior cerebellar incisure <sep> incisura of tentorium <sep> incisure of tentorium cerebelli <sep> tentorial hiatus <sep> tentorial notch <sep> incisura <sep> incisura anterior cerebelli <sep> incisura tentorii
fma:Subarachnoid_incisure	subarachnoid incisure
fma:Anterior_cerebral_artery	anterior cerebral artery <sep> arteria cerebri anterior
fma:Subdivision_of_cerebral_part_of_internal_carotid_artery	subdivision of cerebral part of internal carotid artery
fma:Anterior_chamber_of_eyeball	anterior chamber of eye <sep> anterior chamber of eyeball <sep> camera anterior <sep> camera anterior bulbi oculi
fma:Chamber_of_eyeball	chamber of eyeball <sep> eyeball chamber
fma:Anterior_choroidal_artery	anterior choroidal artery <sep> arteria choroidea anterior
fma:Anterior_commissure	anterior commissure <sep> commissura rostralis <sep> commissura anterior <sep> commissura anterior cerebri
fma:White_matter_of_telencephalon	white matter of telencephalon
fma:Anterior_communicating_artery	anterior communicating artery <sep> arteria communicans anterior
fma:Branch_of_anterior_cerebral_artery	anterior cerebral arterial branch <sep> branch of anterior cerebral artery
fma:Anterior_cranial_fossa	anterior cranial fossa <sep> fossa cranii anterior
fma:Subdivision_of_cavity_of_organ_system_subdivision	subdivision of cavity of organ system subdivision
fma:Anterior_cruciate_ligament	anterior cruciate ligament <sep> ligamentum cruciatum anterius
fma:Cruciate_ligament	cruciate ligament
fma:Anterior_inferior_cerebellar_artery	anterior inferior cerebellar artery <sep> arteria inferior anterior cerebelli
fma:Branch_of_basilar_artery	basilar arterial branch <sep> branch of basilar artery
fma:Anterior_jugular_vein	anterior external jugular vein <sep> anterior jugular vein <sep> vena jugularis anterior
fma:Tributary_of_subclavian_vein	subclavian venous tributary <sep> tributary of subclavian vein
fma:Anterior_limiting_lamina_of_cornea	anterior limiting lamina of cornea <sep> bowman's anterior elastic lamina <sep> bowman's layer <sep> bowman's membrane <sep> lamina limitans anterior (cornea) <sep> reichert's membrane <sep> lamina limitans anterior corneae
fma:Basement_membrane	basement membrane <sep> basement membrane of connective tissue
fma:Anterior_longitudinal_ligament	anterior longitudinal ligament <sep> ligamentum longitudinale anterius
fma:Ligament_of_vertebral_column	ligament of vertebral column <sep> vertebral column ligament
fma:Anterior_median_fissure_of_spinal_cord	anterior median fissure of spinal cord <sep> ventral median fissure of spinal cord <sep> fissura mediana anterior medullae spinalis
fma:Subarachnoid_fissure	subarachnoid fissure
fma:Anterior_mediastinal_lymph_node	anterior mediastinal lymph node <sep> anterior mediastinal node
fma:Mediastinal_lymph_node	mediastinal lymph node <sep> mediastinal node
fma:Anterior_mediastinum	anterior mediastinal part of chest <sep> anterior mediastinum <sep> mediastinum anterius
fma:Subdivision_of_mediastinum	mediastinal subdivision <sep> subdivision of mediastinum
fma:Anterior_meningeal_branch_of_anterior_ethmoidal_artery	anterior meningeal artery <sep> anterior meningeal branch of anterior ethmoidal artery <sep> ramus meningeus anterior (arteria ethmoidalis anterioris)
fma:Branch_of_anterior_ethmoidal_artery	anterior ethmoidal arterial branch <sep> branch of anterior ethmoidal artery
fma:Anterior_olfactory_nucleus	anterior olfactory nucleus <sep> retrobulbar nucleus [a8] <sep> nucleus olfactorius anterior <sep> nucleus retrobulbaris [a8]
fma:Nucleus_of_brain	brain nucleus <sep> nucleus of brain
fma:Anterior_parietal_artery	anterior parietal artery <sep> arteria parietalis anterior
fma:Superior_terminal_branch_of_middle_cerebral_artery	superior cortical branch of middle cerebral artery <sep> superior terminal branch of middle cerebral artery
fma:Anterior_perforated_substance	anterior perforated area <sep> anterior perforated space <sep> anterior perforated substance <sep> olfactory area (mai) <sep> olfactory tubercle <sep> area olfactoria (mai) <sep> area olfactoria (shantha) <sep> eminentia parolfactoria <sep> substantia perforata anterior <sep> substantia perforata rostralis <sep> tuberculum olfactorium
fma:Tubercle	tubercle <sep> tuberculum
fma:Anterior_pole_of_lens	anterior pole of lens <sep> polus anterior (lens) <sep> polus anterior lentis
fma:Zone_of_lens	lens zone <sep> zone of lens
fma:Anterior_ramus_of_spinal_nerve	anterior primary ramus of spinal nerve <sep> anterior ramus of spinal nerve <sep> ramus anterior <sep> ventral ramus of spinal nerve
fma:Branch_of_spinal_nerve_trunk	branch of spinal nerve trunk <sep> spinal neural trunk branch
fma:Anterior_root_of_spinal_nerve	anterior root of spinal nerve <sep> motor root of spinal nerve <sep> radix anterior (nervus spinalis) <sep> radix motoria (nervus spinalis) <sep> ventral root of spinal nerve <sep> ventral spinal nerve root
fma:Root_of_spinal_nerve	root of spinal nerve <sep> spinal nerve root <sep> spinal neural root
fma:Anterior_segment_of_eyeball	anterior segment of eyeball <sep> segmentum anterius (bulbus oculi) <sep> segmentum anterius bulbi oculi
fma:Segment_of_eyeball	eyeball segment <sep> segment of eyeball
fma:Anterior_semicircular_canal	anterior semicircular canal <sep> superior semicircular canal <sep> canalis semicircularis anterior
fma:Semicircular_canal	semicircular canal
fma:Anterior_spinal_artery	anterior medial spinal artery <sep> anterior spinal artery <sep> ventral spinal artery <sep> arteria spinalis anterior
fma:Intracranial_branch_of_vertebral_artery	intracranial branch of vertebral artery
fma:Anterior_surface_of_kidney	anterior surface of kidney <sep> facies anterior (ren) <sep> facies anterior renis
fma:Region_of_external_surface_of_kidney	region of external surface of kidney
fma:Anterior_surface_of_lens	anterior surface of lens <sep> facies anterior (lens) <sep> facies anterior lentis
fma:Surface_of_lens	lens surface <sep> surface of lens
fma:Anterior_surface_of_liver	anterior surface of liver <sep> pars anterior (facies diaphragmatica) (hepar)
fma:Region_of_diaphragmatic_surface_of_liver	region of diaphragmatic surface of liver
fma:Anterior_surface_of_prostate	anterior surface of prostate <sep> anterior surface of prostate gland <sep> facies anterior (prostatae) <sep> facies anterior prostatae
fma:Region_of_surface_of_prostate	region of surface of prostate
fma:Anterior_surface_of_stomach	anterior surface of stomach <sep> anterosuperior surface of stomach <sep> external surface of anterior wall of stomach <sep> paries anterior (gaster)
fma:Region_of_surface_of_stomach	region of surface of stomach
fma:Anterior_temporal_artery	anterior temporal artery <sep> arteria temporalis anterior
fma:Temporal_artery	temporal artery
fma:Anterior_tibial_artery	anterior tibial artery <sep> arteria tibialis anterior
fma:Subdivision_of_external_iliac_artery	external iliac arterial subdivision <sep> subdivision of external iliac artery
fma:Anterior_tibial_vein	anterior tibial vein
fma:Tributary_of_popliteal_vein	popliteal venous tributary <sep> tributary of popliteal vein
fma:Anterior_wall_of_urinary_bladder	anterior wall of urinary bladder <sep> ventral wall of urinary bladder
fma:Region_of_wall_of_urinary_bladder	region of wall of urinary bladder
fma:Anterolateral	anterolateral
fma:Binary_anatomical_coordinate	binary anatomical coordinate
fma:Antihelix	antihelical part of pinna <sep> antihelix <sep> antihelix (auricula) <sep> antihelix of pinna
fma:Subdivision_of_pinna	pinna subdivision <sep> subdivision of pinna
fma:Antihemophilic_globulin	ahf <sep> ahg <sep> antihemophilic factor <sep> antihemophilic factor a <sep> antihemophilic globulin <sep> blood clotting factor viii
fma:Glycoprotein	glycoprotein
fma:Antitragus	antitragal part of pinna <sep> antitragus
fma:Anus	anal orifice <sep> anus
fma:Aorta	aorta <sep> trunk of aortic tree <sep> trunk of systemic arterial tree
fma:Systemic_arterial_trunk	systemic arterial trunk
fma:Aortic_valve	aortic valve <sep> valva aortae
fma:Cardiac_valve	cardiac valve <sep> heart valve <sep> valve of heart
fma:Aperture_of_fourth_ventricle	aperture of fourth ventricle
fma:Apex_of_heart	apex of heart <sep> cardiac apex <sep> apex cordis
fma:Apex_of_lung_viewed_anatomically	anatomical apex of lung <sep> apex of lung viewed anatomically <sep> apex pulmonis (pulmonalis) <sep> pulmonary viewed anatomically apex
fma:Apex_of_prostate	apex of prostate <sep> apex of prostate gland <sep> prostatic apex <sep> apex prostatae
fma:Zone_of_prostate	prostatic zone <sep> zone of prostate
fma:Apex_of_tongue	apex of tongue <sep> apical part of tongue <sep> tip of tongue <sep> tongue apex <sep> apex linguae
fma:Zone_of_tongue	tongue zone <sep> zone of tongue
fma:Apical	apical
fma:Apical_foramen_of_root_of_tooth	apical foramen <sep> apical foramen of root of tooth <sep> foramen apicis dentis
fma:Apocrine_sweat_gland	apocrine sweat gland
fma:Sweat_gland	sweat gland <sep> glandula sudorifera
fma:Aponeurosis	aponeurosis
fma:Membranous_layer	membranous layer <sep> membranous organ component
fma:Appendicular_skeleton	appendicular skeleton <sep> skeleton appendiculare
fma:Subdivision_of_skeleton__in_vivo_	subdivision of skeleton (in vivo)
fma:Appendix	appendix <sep> vermiform appendix <sep> appendix vermiformis
fma:Aqueous_humor_of_eyeball	aqueous humor <sep> aqueous humor of eyeball <sep> humor aquosus
fma:Arachnoid_granulation	arachnoid granulation
fma:Region_of_arachnoid_mater	arachnoid mater region <sep> region of arachnoid mater
fma:Arachnoid_villus	arachnoid villus
fma:Arch_of_aorta	aortic arch <sep> arch of aorta <sep> arcus aortae
fma:Segment_of_thoracic_aorta	segment of thoracic aorta <sep> thoracic aortic segment
fma:Arcuate_nucleus_of_hypothalamus	arcuate hypothalamic nucleus <sep> arcuate nucleus <sep> arcuate nucleus of hypothalamus <sep> arcuate nucleus-2 <sep> arcuate periventricular nucleus <sep> infundibular hypothalamic nucleus <sep> infundibular nucleus <sep> infundibular periventricular nucleus <sep> nucleus arcuatus <sep> nucleus arcuatus (hypothalamus) <sep> nucleus infundibularis <sep> nucleus infundibularis hypothalami <sep> nucleus semilunaris
fma:Nucleus_of_hypothalamus	nucleus of hypothalamus
fma:Areola	areola <sep> areola mammae
fma:Region_of_breast	breast subdivision <sep> region of breast
fma:Argentaffin_cell	argentaffin cell
fma:Arginine	arginine
fma:Arm	arm <sep> brachial region <sep> proximal segment of free upper limb <sep> brachium <sep> regio brachialis
fma:Proximal_free_limb_segment	proximal free limb segment <sep> proximal segment of free limb
fma:Arterial_anastomosis	arterial anastomosis
fma:Vascular_anastomosis	vascular anastomosis
fma:Arterial_trunk	arterial trunk <sep> trunk of artery
fma:Segment_of_arterial_tree_organ	arterial tree organ segment <sep> segment of arterial tree organ
fma:Arteriole	arteriole <sep> arteriola
fma:Arteriovenous_anastomosis	arteriolovenular anastomosis <sep> arteriovenous anastomosis <sep> anastomosis arteriolovenularis <sep> anastomosis arteriovenosa
fma:Artery	arterial subtree <sep> arterial tree organ part <sep> arterial vessel <sep> artery <sep> arteria
fma:Articular_cartilage	articular cartilage <sep> cartilago articularis
fma:Articular_disc	articular disc <sep> meniscus
fma:Articular_disk_of_knee_joint	articular disk of knee joint
fma:Articular_disk_of_synovial_joint	articular disk of synovial joint
fma:Articular_disk_of_symphysis	articular disk of symphysis
fma:Cartilage_organ	cartilage organ
fma:Aryepiglotticus	ary-epiglottic part of oblique arytenoid <sep> aryepiglottic muscle <sep> aryepiglotticus <sep> pars aryepiglottica (musculus arytenoideus obliquus) <sep> pars aryepiglottica musculus arytenoidei obliqui
fma:Zone_of_oblique_arytenoid	oblique arytenoid zone <sep> zone of oblique arytenoid
fma:Arytenoid_cartilage	arytenoid cartilage <sep> cartilago arytenoidea
fma:Laryngeal_cartilage	cartilage of larynx <sep> laryngeal cartilage
fma:Ascending_aorta	ascending aorta <sep> pars ascendens aortae <sep> aorta ascendens
fma:Ascending_colon	ascending colon <sep> colon ascendens
fma:Segment_of_colon	segment of colon
fma:Ascending_limb_of_loop_of_Henle	ascending limb of henle's loop <sep> ascending limb of loop of henle
fma:Region_of_renal_tubule	region of renal tubule <sep> renal tubule region
fma:Ascending_part_of_duodenum	ascending part of duodenum <sep> ascending portion of duodenum <sep> fourth part of duodenum <sep> pars ascendens (duodenum) <sep> pars ascendens duodeni
fma:Segment_of_duodenum	segment of duodenum
fma:Aspartic_acid	aspartic acid
fma:Astrocyte	astrocyte <sep> astrocytus
fma:Macroglial_cell	macroglial cell <sep> macrogliocyte
fma:Atlanto_axial_joint	atlanto-axial joint
fma:Cranial_synovial_joint	cranial synovial joint <sep> synovial joint of head
fma:Atlanto_occipital_joint	articulatio atlanto-occipitalis <sep> atlanto-occipital joint <sep> craniovertebral joint <sep> articulatio atlantooccipitalis
fma:Atlas	atlas <sep> atlas (ci) <sep> c1 vertebra <sep> first cervical vertebra <sep> atlas [c i]
fma:Cervical_vertebra	cervical vertebra
fma:Atrioventricular_bundle	atrioventricular bundle <sep> atrioventricular bundle muscle tissue <sep> atrioventricular fasciculus <sep> bundle of his <sep> fasciculus atrioventricularis
fma:Subdivision_of_conducting_system_of_heart	subdivision of conducting system of heart
fma:Atrioventricular_node	av nodal muscle tissue <sep> av node <sep> aschoff-tawara node <sep> atrioventricular nodal muscle tissue <sep> atrioventricular node <sep> node of tawara <sep> nodus atrioventricularis
fma:Atrioventricular_valve	atrioventricular valve
fma:Atrium	atrium
fma:Attribute_entity	attribute entity
fma:Atypical_epithelium	atypical epithelium <sep> heterogenous epithelium
fma:Portion_of_epithelium	epithelial tissue <sep> epithelium <sep> portion of epithelium <sep> textus epithelialis
fma:Auditory_cortex	auditory cortex
fma:Region_of_cerebral_cortex	region of cerebral cortex
fma:Auditory_ossicle	auditory ossicle
fma:Irregular_bone	irregular bone <sep> os irregulare
fma:Auditory_receptor	auditory receptor
fma:Teloreceptor	teloreceptor
fma:Auditory_system	auditory organ system <sep> auditory system
fma:System_term	system term
fma:Autonomic_ganglion	autonomic ganglion <sep> ganglion autonomicum
fma:Ganglion	ganglion
fma:Autonomic_nerve_plexus	autonomic nerve plexus <sep> autonomic plexus <sep> visceral nerve plexus <sep> visceral plexus <sep> plexus autonomicus <sep> plexus nervosus visceralis <sep> plexus visceralis
fma:Nerve_plexus	nerve plexus
fma:Autonomic_nervous_system	autonomic nervous system <sep> visceral nervous system
fma:Autosome	autosome
fma:Chromosome	chromosome
fma:Axial	axial
fma:Axial_skeleton	axial skeleton <sep> skeleton axiale
fma:Axilla	axilla <sep> axillary region <sep> regio axillaris
fma:Subdivision_of_pectoral_girdle	pectoral girdle subdivision <sep> subdivision of pectoral girdle
fma:Axillary_artery	axillary artery <sep> axillary part of subclavian artery <sep> arteria axillaris
fma:Segment_of_subclavian_artery	segment of subclavian artery <sep> subclavian arterial segment
fma:Axillary_fossa	axillary fossa <sep> fossa axillaris
fma:Cavity_of_subdivision_of_principal_body_part	cavity of subdivision of principal body part <sep> principal body part subdivision cavity
fma:Axillary_lymph_node	axillary lymph node <sep> axillary node
fma:Superficial_lymph_node	superficial lymph node
fma:Axillary_nerve	axillary nerve <sep> circumflex humeral nerve <sep> nervus axillaris
fma:Peripheral_nerve	peripheral nerve <sep> peripheral nerve tree
fma:Axillary_tail_of_breast	axillary process <sep> axillary tail <sep> axillary tail of spence <sep> axillary tail of breast <sep> processus axillaris (glandula mammaria) <sep> tail of spence <sep> processus axillaris
fma:Heterogeneous_cluster	heterogeneous cluster
fma:Axillary_vein	axillary vein <sep> vena axillaris
fma:Subdivision_of_subclavian_vein	subclavian venous subdivision <sep> subdivision of subclavian vein
fma:Axis	axis <sep> axis (cii) <sep> c2 vertebra <sep> second cervical vertebra <sep> axis [c ii]
fma:Axoaxonic_synapse	axoaxonal synapse <sep> axoaxonic synapse
fma:Chemical_synapse	chemical synapse
fma:Axodendritic_synapse	axodendritic synapse
fma:Axon	axon
fma:Neurite	neurite
fma:Axosomatic_synapse	axosomatic synapse
fma:Azygos_vein	azygos vein <sep> azygos venous tree <sep> vena azygos
fma:Subdivision_of_superior_vena_caval_tree	subdivision of superior vena caval tree <sep> superior vena caval tree subdivision
fma:B_lymphoblast	b lymphoblast
fma:Lymphoblast	lymphoblast
fma:B_lymphocyte	b lymphocyte <sep> b-lymphocyte
fma:Lymphocyte	lymphocyte
fma:Back_of_abdomen	abdominal back <sep> back of abdomen <sep> dorsum of abdomen <sep> lumbar part of back <sep> lumbar region <sep> posterior part of abdomen <sep> regio lumbalis
fma:Subdivision_of_back_of_trunk	subdivision of back of trunk
fma:Bamacan	bamacan
fma:Chondroitin_sulfate_proteoglycan	chondroitin sulfate proteoglycan
fma:Band_cell	band cell
fma:Basal_cell	basal cell
