Class-IRI	Class-Text
nci:Acinar_Cell_Carcinoma	acinar adenocarcinoma <sep> acinar carcinoma <sep> acinar cell adenocarcinoma <sep> acinar cell carcinoma <sep> acinic cell adenocarcinoma <sep> acinic cell carcinoma
nci:Adenocarcinoma	adenocarcinoma
nci:Secretory_Adenocarcinoma_Cell	acinar carcinoma cell <sep> secretory adenocarcinoma cell
nci:Glandular_Cell_Neoplasm	glandular cell epithelial neoplasm <sep> glandular cell epithelium neoplasm <sep> glandular cell neoplasm
nci:Neoplastic_Acinar_Cell	neoplastic acinar cell
nci:Glandular_Epithelium	glandular epithelium
nci:Acoustic_Schwannoma	acoustic neurilemmoma <sep> acoustic neurinoma <sep> acoustic neuroma <sep> acoustic schwannoma <sep> neurilemoma, acoustic <sep> neuroma, acoustic <sep> vestibular neurilemmoma <sep> vestibular schwannoma
nci:Schwannoma	neurilemmoma <sep> neurinoma <sep> schwannoma
nci:Vestibulocochlear_Nerve_Neoplasm	acoustic nerve neoplasm <sep> acoustic nerve tumor <sep> cranial nerve eight neoplasms <sep> eighth cranial nerve neoplasm <sep> eighth cranial nerve neoplasms <sep> eighth cranial nerve tumor <sep> neoplasm of acoustic nerve <sep> neoplasm of eighth cranial nerve <sep> neoplasm of vestibulocochlear nerve <sep> neoplasm of the acoustic nerve <sep> neoplasm of the eighth cranial nerve <sep> neoplasm of the vestibulocochlear nerve <sep> tumor of acoustic nerve <sep> tumor of eighth cranial nerve <sep> tumor of vestibulocochlear nerve <sep> tumor of the acoustic nerve <sep> tumor of the eighth cranial nerve <sep> tumor of the vestibulocochlear nerve <sep> vestibuloacoustic nerve neoplasms <sep> vestibulocochlear nerve neoplasm <sep> vestibulocochlear nerve neoplasms <sep> vestibulocochlear nerve tumor
nci:Antoni_B_Pattern	antoni b pattern
nci:Vestibulocochlear_Nerve	cranial nerve eight <sep> cranial nerve viii <sep> eighth cranial nerve <sep> viiith cranial nerve <sep> vestibulocochlear nerve
nci:Acquired_Hemangioma	acquired hemangioma
nci:Hemangioma	angioma <sep> benign angioma <sep> benign hemangioma <sep> hemangioma
nci:Acquired_Lesion	acquired lesion
nci:Lesion	lesion <sep> visible lesion
nci:Acral_Lentiginous_Malignant_Melanoma	acral lentiginous malignant melanoma <sep> acral lentiginous melanoma
nci:Cutaneous_Melanoma	cutaneous melanoma <sep> malignant cutaneous melanoma <sep> malignant melanoma (of skin), stage unspecified <sep> malignant melanoma of skin <sep> malignant melanoma of skin stage unspecified <sep> melanoma of skin <sep> melanoma of the skin <sep> skin melanoma <sep> skin, melanoma
nci:BRAF_Gene_Mutation	braf gene mutation
nci:Dendritic_Melanoma_Cell	dendritic melanoma cell
nci:Spindle_Melanoma_Cell	spindle melanoma cell
nci:Macular_Lesion	macular lesion
nci:Skin_of_the_Extremity	skin of the extremity
nci:Acral_Skin_Nevus	acral skin nevus <sep> nevus of acral skin
nci:Melanocytic_Nevus	melanocytic nevus <sep> melanotic nevus <sep> mole <sep> mole of skin <sep> nevus
nci:Melanocytic_Skin_Neoplasm	cutaneous melanocytic neoplasm <sep> melanocytic neoplasm of skin <sep> melanocytic skin neoplasm
nci:Acromial_Thoracic_Artery	acromial thoracic artery <sep> thoracoacromial artery
nci:Axillary_Artery_Branch	axillary artery branch
nci:Acromioclavicular_Joint	acromioclavicular joint
nci:Joint_By_Site	joint by site
nci:Acromion	acromion
nci:Skeletal_System_Part	skeletal system part
nci:Clavicle	clavicle <sep> collar bone
nci:Acrosyringeal_Nevus	acrosyringeal nevus
nci:Sweat_Gland	sweat gland
nci:Actin	actin
nci:Microfilament_Protein	microfilament protein
nci:Actin_Filament	actin filament <sep> microfilament
nci:Cell_Motility	cell motility <sep> motility <sep> motility, cellular
nci:Actin-Binding_Protein	abp <sep> actin binding proteins <sep> actin-binding protein
nci:Ligand_Binding_Protein	binding protein <sep> ligand binding protein
nci:Cytoskeleton	cellular matrix <sep> cytoskeletal <sep> cytoskeletal system <sep> cytoskeleton
nci:Cytoskeletal_Protein	cytoskeletal protein
nci:Filament	cytoskeletal filament <sep> cytoskeleton filament <sep> filament
nci:Actinic_Damage	actinic damage
nci:Injury	injury <sep> trauma <sep> wound
nci:Integumentary_System_Signs_and_Symptoms	integumentary system signs and symptoms
nci:Activated_Lymphocyte	activated lymphocyte
nci:Lymphocyte	lymphocyte <sep> lymphocytes <sep> lymph cell
nci:Activated_Natural-Killer_Cell	activated natural killer cell
nci:Natural_Killer_Cell	cytotoxic cell <sep> k cells <sep> k lymphocyte <sep> killer cell <sep> killer cells <sep> killer cells, natural <sep> nk <sep> nk cell <sep> nk cells <sep> nk-cell <sep> natural killer cell <sep> natural killer cells
nci:Acute_Clinical_Course	acute clinical course
nci:Clinical_Course_of_Disease	clinical course of disease
nci:Acute_Inflammatory_Infiltrate	acute inflammatory infiltrate
nci:Inflammatory_Infiltrate	inflammatory infiltrate
nci:Acute_Leukemia	acute leukemia
nci:Leukemia	blood (leukemia) <sep> leukemia <sep> leukemias <sep> leukemias, general
nci:Chronic_Clinical_Course	chronic clinical course
nci:Adamantinoid_Basal_Cell_Carcinoma	adamantinoid basal cell carcinoma <sep> skin adamantinoid basal cell carcinoma <sep> skin adamantinoid basal cell epithelioma
nci:Basal_Cell_Carcinoma	bcc <sep> basal cell cancer <sep> basal cell carcinoma <sep> basal cell carcinoma of skin <sep> basal cell carcinoma of the skin <sep> basal cell epithelioma <sep> basal cell skin carcinoma <sep> basiloma <sep> rodent ulcer <sep> skin basal cell carcinoma
nci:Malignant_Stellate_Cell	malignant stellate cell
nci:Adenine	1h-purin-6-amine <sep> adenine
nci:Purine	purine
nci:Adenocarcinofibroma	adenocarcinofibroma <sep> malignant adenofibroma
nci:Malignant_Female_Reproductive_System_Neoplasm	female reproductive cancer <sep> gynecologic cancer <sep> malignant female reproductive system neoplasm <sep> malignant female reproductive system tumor <sep> malignant gynecologic neoplasm <sep> malignant gynecologic tumor <sep> malignant neoplasm of female reproductive system <sep> malignant neoplasm of the female reproductive system <sep> malignant tumor of female reproductive system <sep> malignant tumor of the female reproductive system
nci:Malignant_Mixed_Neoplasm	malignant mixed neoplasm <sep> malignant mixed tumor
nci:Mixed_Mesodermal_Mullerian_Tumor	mixed mesodermal (mullerian) neoplasm <sep> mixed mesodermal (mullerian) tumor <sep> mixed mullerian tumor
nci:Malignant_Stromal_Cell	malignant stromal cell
nci:Adenocarcinoma_Cell	adenocarcinoma cell <sep> malignant glandular cell
nci:Fibrotic_Stroma_Formation	fibrotic stroma formation
nci:Adenocarcinoid_Tumor_of_the_Appendix	adenocarcinoid neoplasm of appendix <sep> adenocarcinoid neoplasm of the appendix <sep> adenocarcinoid tumor of appendix <sep> adenocarcinoid tumor of the appendix <sep> appendiceal adenocarcinoid <sep> appendiceal adenocarcinoid neoplasm <sep> appendiceal adenocarcinoid tumor <sep> appendix adenocarcinoid neoplasm <sep> appendix adenocarcinoid tumor <sep> appendix glandular carcinoid tumor <sep> appendix mixed carcinoid-adenocarcinoma
nci:Adenocarcinoma_with_Neuroendocrine_Differentiation	adenocarcinoma with neuroendocrine differentiation
nci:Appendix_Adenocarcinoma	adenocarcinoma of appendix <sep> adenocarcinoma of the appendix <sep> appendiceal adenocarcinoma <sep> appendix adenocarcinoma
nci:Appendix_Mixed_Endocrine-Exocrine_Neoplasm	appendix mixed endocrine-exocrine neoplasm
nci:Goblet_Cell_Carcinoid_Tumor	appendix goblet cell carcinoid tumor <sep> goblet cell carcinoid neoplasm <sep> goblet cell carcinoid tumor <sep> mucinous carcinoid neoplasm <sep> mucinous carcinoid tumor
nci:Carcinoma	carcinoma <sep> epithelial carcinoma <sep> malignant epithelial neoplasm <sep> malignant epithelial tumor <sep> malignant epithelioma
nci:Malignant_Squamous_Cell	malignant squamous cell
nci:Dysplastic_Glandular_Cell	dysplastic glandular cell
nci:Malignant_Epithelial_Cell	carcinoma cell <sep> malignant epithelial cell
nci:Adenocarcinoma_Cell_with_Abundant_Cytoplasm	adenocarcinoma cell with abundant cytoplasm
nci:Neoplastic_Large_Cell_with_Abundant_Cytoplasm	neoplastic large cell with abundant cytoplasm
nci:Adenocarcinoma_Clear_Cell	adenocarcinoma clear cell <sep> malignant glandular clear cell
nci:Malignant_Epithelial_Clear_Cell	malignant epithelial clear cell
nci:Neoplastic_Glandular_Cell_with_Clear_Cytoplasm	neoplastic glandular cell with clear cytoplasm
nci:Adenocarcinoma_Endocervical_Type	adenocarcinoma, endocervical type
nci:Malignant_Glandular_Epithelium_Resembling_the_Endocervical_Epithelium_Present	malignant glandular epithelium resembling the endocervical epithelium present
nci:Adenocarcinoma_Granular_Cell	granular adenocarcinoma cell
nci:Adenocarcinoma_in_Adenomatous_Polyp	adenocarcinoma in adenomatous polyp
nci:Carcinoma_in_a_Polyp	carcinoma in a polyp
nci:Adenomatous_Polyp	adenomatous polyp <sep> polypoid adenoma
nci:Adenocarcinoma_in_Adenomatous_Polyposis_Coli	adenocarcinoma in adenomatous polyposis coli
nci:Adenocarcinoma_in_Multiple_Adenomatous_Polyps	adenocarcinoma in multiple adenomatous polyps
nci:Familial_Adenomatous_Polyposis	apc - adenomatous polyposis coli <sep> adenomatous polyposis coli <sep> fap <sep> familial adenomatous polyposis <sep> familial adenomatous polyposis coli <sep> familial adenomatous polyposis syndrome <sep> hereditary adenomatous polyposis coli <sep> polyposis coli <sep> familial polyposis
nci:Multiple_Adenomatous_Polyps	multiple adenomatous polyps
nci:Adenocarcinoma_in_Tubular_Adenoma	adenocarcinoma in tubular adenoma
nci:Tubular_Adenoma	tubular adenoma
nci:Adenocarcinoma_in_Tubulovillous_Adenoma	adenocarcinoma in tubulovillous adenoma
nci:Tubulovillous_Adenoma	tubulovillous adenoma
nci:Adenocarcinoma_in_Villous_Adenoma	adenocarcinoma in villous adenoma
nci:Villous_Adenoma	villous adenoma
nci:Adenocarcinoma_in_situ	adenocarcinoma in situ
nci:Carcinoma_in_situ	cis <sep> carcinoma in situ <sep> intraepithelial carcinoma <sep> in situ cancer
nci:Adenocarcinoma_in_situ_in_Adenomatous_Polyp	adenocarcinoma in situ in adenomatous polyp
nci:Adenocarcinoma_in_situ_in_a_Polyp	adenocarcinoma in situ in a polyp
nci:Adenocarcinoma_in_situ_in_Tubular_Adenoma	adenocarcinoma in situ in tubular adenoma
nci:Adenocarcinoma_in_situ_in_Tubulovillous_Adenoma	adenocarcinoma in situ in tubulovillous adenoma
nci:Adenocarcinoma_in_situ_in_Villous_Adenoma	adenocarcinoma in situ in villous adenoma
nci:Carcinoma_in_situ_in_a_Polyp	carcinoma in situ in a polyp
nci:Adenocarcinoma_with_Apocrine_Metaplasia	adenocarcinoma with apocrine metaplasia
nci:Adenocarcinoma_with_Metaplasia	adenocarcinoma with metaplasia
nci:Apocrine_Metaplasia	apocrine metaplasia
nci:Adenocarcinoma_with_Cartilaginous_Metaplasia	adenocarcinoma with cartilaginous metaplasia
nci:Adenocarcinoma_with_Cartilaginous_and_Osseous_Metaplasia	adenocarcinoma with cartilaginous and osseous metaplasia
nci:Cartilagenous_Metaplasia	cartilaginous metaplasia
nci:Mesenchymal_Metaplasia	mesenchymal metaplasia
nci:Metaplasia_of_Malignant_Cells_Present	metaplasia of malignant cells present
nci:Neuroendocrine_Differentiation	neuroendocrine differentiation
nci:Adenocarcinoma_with_Osseous_Metaplasia	adenocarcinoma with osseous metaplasia
nci:Osseous_Metaplasia	bone metaplasia <sep> osseous metaplasia
nci:Adenocarcinoma_with_Spindle_Cell_Metaplasia	adenocarcinoma with spindle cell metaplasia
nci:Spindle_Cell_Metaplasia_of_Malignant_Cells_Present	spindle cell metaplasia of malignant cells present
nci:Adenocarcinoma_with_Squamous_Metaplasia	adenoacanthoma <sep> adenocarcinoma with squamous metaplasia
nci:Squamous_Metaplasia_of_Malignant_Cells_Present	squamous metaplasia of malignant cells present
nci:Adenofibroma	adenofibroma
nci:Benign_Female_Reproductive_System_Neoplasm	benign female reproductive system neoplasm <sep> benign female reproductive system tumor <sep> benign gynecologic neoplasm <sep> benign gynecologic tumor
nci:Neoplastic_Glandular_Cell	neoplastic glandular cell
nci:Endocrine_Cell_and_Neuroendocrine_Cell	endocrine cell
nci:Anterior_Lobe_of_the_Pituitary_Gland	adenohypophysis <sep> anterior lobe of pituitary <sep> anterior lobe of pituitary gland <sep> anterior lobe of the pituitary gland <sep> anterior pituitary gland <sep> gland, anterior pituitary <sep> glands, anterior pituitary <sep> pars anterior pituitary gland <sep> pituitary anterior lobe <sep> pituitary gland, anterior
nci:Glandular_Epithelial_Tissue	glandular epithelial tissue
nci:Adenoid_Basal_Cell_Carcinoma	adenoid basal cell carcinoma <sep> skin adenoid basal cell carcinoma
nci:Mucinous_Stroma_Formation	mucoid stroma formation
nci:Reticular_Pattern	honeycomb pattern <sep> honeycombed pattern <sep> microcystic pattern <sep> reticular pattern
nci:Adenoid_Cystic_Carcinoma	adenocystic carcinoma <sep> adenoid cystic carcinoma <sep> cylindroid adenocarcinoma <sep> adenoid cystic cancer
nci:Cribriform_Pattern	cribriform pattern
nci:Solid_Pattern	solid growth pattern <sep> solid pattern
nci:Tubular_Pattern	tubular pattern
nci:Loss_of_E-cadherin_Expression	loss of e-cadherin expression
nci:Perineural_Invasion	perineural invasion <sep> perineurial invasion
nci:Adenoid_Cystic_Skin_Carcinoma	adenoid cystic carcinoma of skin <sep> adenoid cystic carcinoma of the skin <sep> adenoid cystic cutaneous carcinoma <sep> adenoid cystic skin carcinoma <sep> primary cutaneous adenocystic carcinoma
nci:Sweat_Gland_Carcinoma	carcinoma of sweat gland <sep> carcinoma of the sweat gland <sep> sweat gland carcinoma
nci:Epithelial_Neoplasm	epithelial neoplasm <sep> epithelial neoplasms, nos <sep> epithelioma
nci:Neoplastic_Polyp	neoplastic polyp
nci:Adenomyoma	adenomyoma
nci:Neoplastic_Smooth_Muscle_Cell	neoplastic smooth muscle cell
nci:Myomatous_Stroma_Formation	myomatous stroma formation
nci:Adenosine_Triphosphate	atp <sep> adenosine triphosphate
nci:Nucleotides	base <sep> nucleotide <sep> nucleotides
nci:Adenosquamous_Carcinoma	adenosquamous carcinoma <sep> mixed adenocarcinoma and epidermoid carcinoma <sep> mixed adenocarcinoma and epidermoid cell carcinoma <sep> mixed adenocarcinoma and squamous carcinoma <sep> mixed adenocarcinoma and squamous cell carcinoma
nci:Adipocyte	adipocyte <sep> adipocytes <sep> adipose cell <sep> fat cell <sep> fat cells <sep> lipocytes <sep> mature lipocyte <sep> mature fat cell
nci:Lipocyte	lipocyte
nci:Adipose_Tissue	adipose tissue <sep> bodyfat <sep> body fat <sep> adipose
nci:Soft_Tissue	soft tissue
nci:Adjuvant	adj <sep> adjuvant
nci:Pharmacologic_Substance	agent <sep> drug <sep> pharmaceutical agent <sep> pharmaceuticals <sep> pharmacologic agent <sep> pharmacologic substance <sep> pharmacological substance
nci:Adnexal_Carcinoma	adnexal carcinoma <sep> carcinoma of adnexa <sep> carcinoma of skin appendage <sep> skin appendage carcinoma
nci:Malignant_Skin_Appendage_Neoplasm	malignant cutaneous adnexal neoplasm <sep> malignant epidermal appendage neoplasm <sep> malignant epidermal appendage tumor <sep> malignant neoplasm of epidermal appendage <sep> malignant neoplasm of the epidermal appendage <sep> malignant skin adnexal neoplasm <sep> malignant skin adnexal tumor <sep> malignant skin appendage neoplasm <sep> malignant tumor of epidermal appendage <sep> malignant tumor of the epidermal appendage
nci:Skin_Carcinoma	carcinoma of skin <sep> carcinoma of the skin <sep> non-melanoma cancer of skin <sep> non-melanoma cancer of the skin <sep> non-melanoma skin cancer <sep> skin cancer, non-melanoma <sep> skin carcinoma <sep> nonmelanoma skin cancer
nci:Adnexal_Differentiation	adnexal differentiation
nci:Epithelial_Differentiation	epithelial differentiation
nci:Adnexal_Mucinous_Adenocarcinoma	adnexal mucinous adenocarcinoma <sep> adnexal mucinous carcinoma <sep> primary cutaneous mucinous carcinoma <sep> sweat gland mucinous carcinoma
nci:Mucinous_Adenocarcinoma	colloid adenocarcinoma <sep> colloid carcinoma <sep> gelatinous adenocarcinoma <sep> gelatinous carcinoma <sep> mucinous adenocarcinoma <sep> mucinous carcinoma <sep> mucoid adenocarcinoma <sep> mucoid carcinoma <sep> mucous adenocarcinoma <sep> mucous carcinoma
nci:Adrenal_Cortex	adrenal cortex <sep> cortex of adrenal gland <sep> cortical
nci:Adrenal_Gland_Tissue	adrenal gland tissue
nci:Adrenal_Cortex_Neoplasm	adrenal cortex neoplasm <sep> adrenal cortex tumor <sep> adrenocortical neoplasm <sep> adrenocortical tumor
nci:Adrenal_Gland_Neoplasm	adrenal gland neoplasm <sep> adrenal gland tumor <sep> adrenal neoplasm <sep> adrenal neoplasms <sep> adrenal tumor <sep> neoplasm of adrenal gland <sep> neoplasm of the adrenal gland <sep> tumor of adrenal gland <sep> tumor of the adrenal gland
nci:Adrenal_Medulla	adrenal medulla <sep> medulla of adrenal gland <sep> medullary
nci:Adrenal_Ganglioneuroblastoma	adrenal ganglioneuroblastoma <sep> adrenal gland ganglioneuroblastoma
nci:Malignant_Adrenal_Medulla_Neoplasm	malignant adrenal medulla neoplasm <sep> malignant adrenal medulla tumor <sep> malignant neoplasm of adrenal medulla <sep> malignant neoplasm of the adrenal medulla <sep> malignant tumor of adrenal medulla <sep> malignant tumor of the adrenal medulla
nci:Peripheral_Ganglioneuroblastoma	pns ganglioneuroblastoma <sep> peripheral ganglioneuroblastoma <sep> peripheral nervous system ganglioneuroblastoma
nci:Adrenal_Gland	adrenal gland <sep> adrenal glands <sep> adrenals
nci:Endocrine_Gland	endocrine gland <sep> endocrine organs
nci:Kidney	kidney <sep> kidneys <sep> urinary system, kidney
nci:Adrenal_Gland_Angiosarcoma	adrenal gland angiosarcoma
nci:Angiosarcoma	angiosarcoma <sep> hemangiosarcoma
nci:Malignant_Adrenal_Gland_Neoplasm	malignant adrenal gland neoplasm <sep> malignant adrenal gland tumor <sep> malignant adrenal neoplasm <sep> malignant adrenal tumor <sep> malignant neoplasm of adrenal gland <sep> malignant neoplasm of the adrenal gland <sep> malignant tumor of adrenal gland <sep> malignant tumor of the adrenal gland
nci:Adrenal_Gland_Capsule	adrenal gland capsule
nci:Organ_Capsule	organ capsule
nci:Adrenal_Gland_Disorder	adrenal gland disease <sep> adrenal gland diseases <sep> adrenal gland disorder <sep> adrenal gland disorders
nci:Retroperitoneal_Disorder	retroperitoneal disease <sep> retroperitoneal disorder
nci:Adrenal_Gland_Insufficiency	adrenal gland insufficiency <sep> adrenal insufficiency
nci:Non-Neoplastic_Adrenal_Gland_Disorder	non-neoplastic adrenal gland disorder
nci:Non-Neoplastic_Endocrine_Disorder	non-neoplastic endocrine disorder
nci:Retroperitoneal_Neoplasm	retroperitoneal neoplasm
nci:Tissue	normal tissue <sep> tissue <sep> tissue types <sep> tissues
nci:Adrenal_Hormone	adrenal hormone
nci:Steroid_Hormone	steroid hormone
nci:Neuroendocrine_Tissue	neuroendocrine tissue
nci:Sympathetic_Nervous_System	sns <sep> sympathetic nervous system
nci:Adrenal_Medulla_Neoplasm	adrenal medulla neoplasm <sep> adrenal medulla tumor
