Entity-IRI	Entity-Lexicon
snomed:Gonadal_structure	gonadal structure
snomed:Accessory_kidney	accessory kidney
snomed:Congenital_anomaly_of_the_kidney	congenital anomaly of the kidney
snomed:Kidney_structure	kidney structure
snomed:Accessory_lacrimal_gland	accessory lacrimal gland
snomed:Conjunctival_gland	conjunctival gland
snomed:Eyelid_gland	eyelid gland
snomed:Lacrimal_gland_structure	lacrimal gland structure
snomed:Side	side
snomed:Accessory_ligament_of_ankle_joint	accessory ligament of ankle joint
snomed:Structure_of_ligament_of_ankle_joint	structure of ligament of ankle joint
snomed:Accessory_ligament_of_knee_joint	accessory ligament of knee joint
snomed:Intracapsular_ligament_of_knee_joint	intracapsular ligament of knee joint
snomed:Accessory_ligament_of_midcarpal_joint	accessory ligament of midcarpal joint
snomed:Structure_of_ligament_of_midcarpal_joint	structure of ligament of midcarpal joint
snomed:Accessory_lobe_of_lung	accessory lobe of lung
snomed:Accessory_lung	accessory lung
snomed:Structure_of_lobe_of_lung	structure of lobe of lung
snomed:Congenital_anomaly_of_lung	congenital anomaly of lung
snomed:Lung_structure	lung structure
snomed:Accessory_meningeal_artery	accessory meningeal artery
snomed:Intracranial_branch_of_external_carotid_artery	intracranial branch of external carotid artery
snomed:Accessory_navicular_bone_of_foot	accessory navicular bone of foot
snomed:Bone_structure_of_navicular	bone structure of navicular
snomed:Accessory_nerve_structure	accessory nerve structure
snomed:Accessory_nose	accessory nose
snomed:Congenital_anomaly_of_nose	congenital anomaly of nose
snomed:Disorder_of_external_nose	disorder of external nose
snomed:External_nose_structure	external nose structure
snomed:Accessory_olivary_nucleus	accessory olivary nucleus
snomed:Olivary_nucleus_structure	olivary nucleus structure
snomed:Accessory_ovary	accessory ovary
snomed:Congenital_anomaly_of_abdomen	congenital anomaly of abdomen
snomed:Congenital_anomaly_of_body_cavity	congenital anomaly of body cavity
snomed:Congenital_anomaly_of_female_genital_system	congenital anomaly of female genital system
snomed:Congenital_anomaly_of_ovary	congenital anomaly of ovary
snomed:Ovarian_structure	ovarian structure
snomed:Accessory_pancreas	accessory pancreas
snomed:Congenital_malformation_of_pancreas	congenital malformation of pancreas
snomed:Congenital_anomaly	congenital anomaly
snomed:Digestive_organ_structure	digestive organ structure
snomed:Pancreatic_structure	pancreatic structure
snomed:Accessory_parathyroid_gland	accessory parathyroid gland
snomed:Congenital_anomaly_of_parathyroid_glands	congenital anomaly of parathyroid glands
snomed:Parathyroid_structure	parathyroid structure
snomed:Accessory_parotid_gland	accessory parotid gland
snomed:Accessory_salivary_gland	accessory salivary gland
snomed:Parotid_gland_structure	parotid gland structure
snomed:Accessory_pituitary_gland	accessory pituitary gland
snomed:Congenital_anomaly_of_pituitary_gland	congenital anomaly of pituitary gland
snomed:Pituitary_structure	pituitary structure
snomed:Accessory_renal_artery	accessory renal artery
snomed:Intra_abdominal_artery	intra-abdominal artery
snomed:Accessory_rib	accessory rib
snomed:Congenital_anomaly_of_rib	congenital anomaly of rib
snomed:Bone_structure_of_rib	bone structure of rib
snomed:Accessory_salivary_duct	accessory salivary duct
snomed:Congenital_abnormality_of_salivary_duct	congenital abnormality of salivary duct
snomed:Salivary_duct_structure	salivary duct structure
snomed:Congenital_anomaly_of_salivary_gland	congenital anomaly of salivary gland
snomed:Congenital_malformation_of_salivary_glands_and_ducts	congenital malformation of salivary glands and ducts
snomed:Salivary_gland_structure	salivary gland structure
snomed:Accessory_skeletal_muscle	accessory skeletal muscle
snomed:Skeletal_muscle_structure	skeletal muscle structure
snomed:Accessory_spleen	accessory spleen
snomed:Congenital_anomaly_of_spleen	congenital anomaly of spleen
snomed:Splenic_structure	splenic structure
snomed:Congenital_anomaly_of_lower_respiratory_system	congenital anomaly of lower respiratory system
snomed:Congenital_malformation_of_the_respiratory_system	congenital malformation of the respiratory system
snomed:Lower_respiratory_tract_structure	lower respiratory tract structure
snomed:Accessory_thymic_tissue	accessory thymic tissue
snomed:Congenital_anomaly_of_the_thymus	congenital anomaly of the thymus
snomed:Thymus_gland_structure	thymus gland structure
snomed:Accessory_thyroid	accessory thyroid
snomed:Thyroid_structure	thyroid structure
snomed:Accessory_thyroid_gland	accessory thyroid gland
snomed:Congenital_anomaly_of_the_thyroid_gland	congenital anomaly of the thyroid gland
snomed:Accessory_trachea	accessory trachea
snomed:Congenital_anomaly_of_trachea	congenital anomaly of trachea
snomed:Tracheal_structure	tracheal structure
snomed:Accessory_tragus	accessory tragus
snomed:Polyotia	polyotia
snomed:Tragus_structure	tragus structure
snomed:Accessory_ureter	accessory ureter
snomed:Congenital_anomaly_of_ureter	congenital anomaly of ureter
snomed:Ureteric_structure	ureteric structure
snomed:Accessory_urethra	accessory urethra
snomed:Congenital_anomaly_of_urethra	congenital anomaly of urethra
snomed:Urethral_structure	urethral structure
snomed:Acetabular_branch_of_medial_circumflex_femoral_artery	acetabular branch of medial circumflex femoral artery
snomed:Structure_of_medial_circumflex_femoral_artery	structure of medial circumflex femoral artery
snomed:Acetabular_branch_of_obturator_artery	acetabular branch of obturator artery
snomed:Structure_of_obturator_artery	structure of obturator artery
snomed:Acetylcholine	acetylcholine
snomed:Biogenic_amine	biogenic amine
snomed:Miotic	miotic
snomed:Neurotransmitter	neurotransmitter
snomed:Simple_physiological_organic_compound	simple physiological organic compound
snomed:Acetylcholine_preparation	acetylcholine preparation
snomed:Parasympathomimetic_agent	parasympathomimetic agent
snomed:Acinus_of_parotid_gland	acinus of parotid gland
snomed:Parotid_gland_part	parotid gland part
snomed:Acoustic_radiations_structure	acoustic radiations structure
snomed:Auditory_pathway_structure	auditory pathway structure
snomed:Cerebral_association_fibers	cerebral association fibers
snomed:Sensory_pathway_structure	sensory pathway structure
snomed:Acquired_body_structure	acquired body structure
snomed:Body_structure	body structure
snomed:Acromioclavicular_joint_structure	acromioclavicular joint structure
snomed:Joint_structure_of_clavicle	joint structure of clavicle
snomed:Joint_structure_of_shoulder_region	joint structure of shoulder region
snomed:Structure_of_plane_joint	structure of plane joint
snomed:Acrosomal_vesicle	acrosomal vesicle
snomed:Golgi_vesicle	golgi vesicle
snomed:Actin	actin
snomed:Structural_protein	structural protein
snomed:Actin_binding_protein	actin-binding protein
snomed:Binding_protein	binding protein
snomed:Action	action
snomed:Qualifier_value	qualifier value
snomed:Unapproved_attribute	unapproved attribute
snomed:Adductor_hallucis_muscle_structure	adductor hallucis muscle structure
snomed:Structure_of_plantar_muscle_of_foot	structure of plantar muscle of foot
snomed:Adductor_longus_muscle_structure	adductor longus muscle structure
snomed:Structure_of_adductor_muscle	structure of adductor muscle
snomed:Adductor_pollicis_muscle_structure	adductor pollicis muscle structure
snomed:Structure_of_thenar_muscle	structure of thenar muscle
snomed:Adenine	adenine
snomed:Purine	purine
snomed:Vitamin_B	vitamin b
snomed:Adenohypophysis_structure	adenohypophysis structure
snomed:Pituitary_part	pituitary part
snomed:Adenoid_repair	adenoid repair
snomed:Immune_system_repair	immune system repair
snomed:Lymphatic_system_repair	lymphatic system repair
snomed:Operation_on_adenoids	operation on adenoids
snomed:Repair_of_nasopharynx	repair of nasopharynx
snomed:Adenoidal_structure	adenoidal structure
snomed:Structure_of_posterior_wall_of_nasopharynx	structure of posterior wall of nasopharynx
snomed:Tonsil_and_adenoid_structure	tonsil and adenoid structure
snomed:Adipocyte	adipocyte
snomed:Adipose_tissue	adipose tissue
snomed:Connective_tissue_structure	connective tissue structure
snomed:Soft_tissues	soft tissues
snomed:Adipose_tissue_sample	adipose tissue sample
snomed:Soft_tissue_sample	soft tissue sample
snomed:Tissue_specimen	tissue specimen
snomed:Body_tissue_material	body tissue material
snomed:Adjectival_modifier	adjectival modifier
snomed:Descriptor	descriptor
snomed:Adrenal_cortex_structure	adrenal cortex structure
snomed:Layer_of_adrenal_gland	layer of adrenal gland
snomed:Adrenal_gland_sample	adrenal gland sample
snomed:Endocrine_sample	endocrine sample
snomed:Specimen_from_retroperitoneum	specimen from retroperitoneum
snomed:Adrenal_hormone	adrenal hormone
snomed:Pituitary_or_adrenal_hormone	pituitary or adrenal hormone
snomed:Adrenal_medulla_structure	adrenal medulla structure
snomed:Adrenal_medullary_hormone	adrenal medullary hormone
snomed:Adrenal_part	adrenal part
snomed:Endocrine_gland_part	endocrine gland part
snomed:Endocrine_gland_structure	endocrine gland structure
snomed:Adrenal_tissue_sample	adrenal tissue sample
snomed:Tissue_specimen_from_retroperitoneum	tissue specimen from retroperitoneum
snomed:Adrenergic_receptor	adrenergic receptor
snomed:Catecholamine_receptor	catecholamine receptor
snomed:Adrenocorticotropic_hormone	adrenocorticotropic hormone
snomed:Biochemical_tumor_marker	biochemical tumor marker
snomed:Drug_allergen	drug allergen
snomed:Polypeptide_hormone	polypeptide hormone
snomed:Adventitia_of_ureter	adventitia of ureter
snomed:Tunica_adventitia	tunica adventitia
snomed:Ureter_part	ureter part
snomed:Aerophagy	aerophagy
snomed:Digestive_system_finding	digestive system finding
snomed:Structure_of_digestive_system	structure of digestive system
snomed:Ingestion	ingestion
snomed:Agranular_endoplasmic_reticulum_membrane	agranular endoplasmic reticulum membrane
snomed:Endoplasmic_reticulum_membrane	endoplasmic reticulum membrane
snomed:Airway_procedure	airway procedure
snomed:Respiratory_tract_procedure	respiratory tract procedure
snomed:Airway_structure	airway structure
snomed:Respiratory_tract_structure	respiratory tract structure
snomed:Structure_of_body_conduit	structure of body conduit
snomed:Alanine	alanine
snomed:Alpha_amino_acid	alpha amino acid
snomed:Neutral_amino_acid	neutral amino acid
snomed:Nonessential_amino_acid	nonessential amino acid
snomed:Alar_cartilage_structure	alar cartilage structure
snomed:Alar_structure	alar structure
snomed:Nasal_cartilage_structure	nasal cartilage structure
snomed:Alcohol	alcohol
snomed:Organic_compound	organic compound
snomed:Aldose	aldose
snomed:Monosaccharide	monosaccharide
snomed:Aliphatic_amine	aliphatic amine
snomed:Amine	amine
snomed:Aliphatic_carboxylic_acid_C10_C26	aliphatic carboxylic acid c10-c26
snomed:Long_chain_fatty_acid	long chain fatty acid
snomed:Aliphatic_carboxylic_acid_C14_C26	aliphatic carboxylic acid c14-c26
snomed:All_bone_marrow	all bone marrow
snomed:Bone_marrow_structure	bone marrow structure
snomed:All_deciduous_teeth	all deciduous teeth
snomed:Dentition	dentition
snomed:Structure_of_deciduous_tooth	structure of deciduous tooth
snomed:All_permanent_teeth	all permanent teeth
snomed:Structure_of_permanent_tooth	structure of permanent tooth
snomed:Allergen_class	allergen class
snomed:Substance	substance
snomed:Allergen_or_pseudoallergen	allergen or pseudoallergen
snomed:Alpha_adrenoceptor_agonist	alpha-adrenoceptor agonist
snomed:Sympathomimetic_agent	sympathomimetic agent
snomed:Amino_acid	amino acid
snomed:Alternative_medicine_agent	alternative medicine agent
snomed:Drug_or_medicament	drug or medicament
snomed:Alternative_medicines	alternative medicines
snomed:Pharmaceuticalbiologic_product	pharmaceuticalbiologic product
snomed:Alveolar_macrophage	alveolar macrophage
snomed:Macrophage	macrophage
snomed:Mononuclear_phagocyte_system_structure	mononuclear phagocyte system structure
snomed:Pneumocyte	pneumocyte
snomed:Alveolar_pneumopathy	alveolar pneumopathy
snomed:Disorder_of_lung	disorder of lung
snomed:Pulmonary_alveolar_structure	pulmonary alveolar structure
snomed:Alveolar_ridge_structure	alveolar ridge structure
snomed:Oral_hard_tissue_structure	oral hard tissue structure
snomed:Structure_of_alveolar_process	structure of alveolar process
snomed:Alveolar_wall_structure	alveolar wall structure
snomed:Amacrine_cells_of_retina	amacrine cells of retina
snomed:Structure_of_inner_nuclear_layer_of_retina	structure of inner nuclear layer of retina
snomed:Amides_and_derivatives	amides and derivatives
snomed:Organic_nitrogen_compound	organic nitrogen compound
snomed:Amines_and_their_derivatives	amines and their derivatives
snomed:Amine_hormone	amine hormone
snomed:Hormone	hormone
snomed:Caloric_agent	caloric agent
snomed:Carboxylic_acid	carboxylic acid
snomed:Amino_acid_derivative	amino acid derivative
snomed:Nutritional_supplement	nutritional supplement
snomed:Amino_acid_metabolism_disorder_marker	amino acid metabolism disorder marker
snomed:Inborn_errors_of_metabolism_marker	inborn errors of metabolism marker
snomed:Amino_acid_supplement	amino acid supplement
snomed:Protein_supplement	protein supplement
snomed:Protein_supplementation	protein supplementation
snomed:Amino_sugar	amino sugar
snomed:Carbohydrate_derivative	carbohydrate derivative
snomed:Ampulla_of_anterior_semicircular_canal	ampulla of anterior semicircular canal
snomed:Ampulla_of_semicircular_canal	ampulla of semicircular canal
snomed:Ampulla_of_lateral_semicircular_canal	ampulla of lateral semicircular canal
snomed:Ampulla_of_posterior_semicircular_canal	ampulla of posterior semicircular canal
snomed:Bony_semicircular_canal_structure	bony semicircular canal structure
snomed:Amygdaloid_structure	amygdaloid structure
snomed:Basal_ganglion_structure	basal ganglion structure
snomed:Limbic_system_structure	limbic system structure
snomed:Temporal_lobe_structure	temporal lobe structure
snomed:Anagen_hair	anagen hair
snomed:Hair_structure	hair structure
snomed:Anal	anal
snomed:Digestive_site_descriptor	digestive site descriptor
snomed:Anal_canal_finding	anal canal finding
snomed:Anal_finding	anal finding
snomed:Anal_canal_structure	anal canal structure
snomed:Anus_part	anus part
snomed:Large_intestine_part	large intestine part
snomed:Organ_cavity_structure	organ cavity structure
snomed:Anal_crypt_structure	anal crypt structure
snomed:Specialization_of_anal_canal	specialization of anal canal
snomed:Structure_of_mucous_membrane_of_anal_canal	structure of mucous membrane of anal canal
snomed:Finding_of_large_intestine	finding of large intestine
snomed:Finding_of_pelvic_structure	finding of pelvic structure
snomed:Anal_structure	anal structure
snomed:Anal_fissure	anal fissure
snomed:Disorder_of_anus	disorder of anus
snomed:Fissure	fissure
snomed:Anal_region_structure	anal region structure
snomed:Perineal_structure	perineal structure
snomed:Anal_sphincter_finding	anal sphincter finding
snomed:General_finding_of_soft_tissue	general finding of soft tissue
snomed:Muscle_finding	muscle finding
snomed:Musculoskeletal_finding	musculoskeletal finding
snomed:Structure_of_sphincter_ani_muscle	structure of sphincter ani muscle
snomed:Anorectal_structure	anorectal structure
snomed:Anal_triangle	anal triangle
snomed:Structure_of_surface_region_of_pelvis	structure of surface region of pelvis
snomed:Anal_verge_finding	anal verge finding
snomed:Mucosal_finding	mucosal finding
snomed:Structure_of_transition_zone_of_anal_mucous_membrane	structure of transition zone of anal mucous membrane
snomed:Analyte	analyte
snomed:Substance_categorized_functionally	substance categorized functionally
snomed:Anastomosis_main_bile_duct_to_duodenum	anastomosis main bile duct to duodenum
snomed:Anastomosis_of_common_bile_duct	anastomosis of common bile duct
snomed:Anastomosis_of_duodenum	anastomosis of duodenum
snomed:Anastomosisaction	anastomosis - action
snomed:Common_bile_duct_structure	common bile duct structure
snomed:Duodenal_structure	duodenal structure
snomed:Anastomosis_main_bile_duct_to_stomach	anastomosis main bile duct to stomach
snomed:Anastomosis_of_stomach	anastomosis of stomach
snomed:Stomach_structure	stomach structure
snomed:Anastomosis_of_ascending_colon_to_rectum	anastomosis of ascending colon to rectum
snomed:Enteroanastomosis_large_to_large_intestine	enteroanastomosis large-to-large intestine
snomed:Repair_of_colon	repair of colon
snomed:Repair_of_rectum	repair of rectum
snomed:Ascending_colon_structure	ascending colon structure
snomed:Rectum_structure	rectum structure
snomed:Anastomosis_of_bile_ducts	anastomosis of bile ducts
snomed:Gastrointestinal_and_digestive_anastomosis	gastrointestinal and digestive anastomosis
snomed:Repair_of_bile_duct	repair of bile duct
snomed:Bile_duct_structure	bile duct structure
snomed:Digestive_tract_structure	digestive tract structure
snomed:Anastomosis_of_blood_vessel	anastomosis of blood vessel
snomed:Construction_of_anastomosis	construction of anastomosis
snomed:Repair_of_blood_vessel	repair of blood vessel
snomed:Blood_vessel_structure	blood vessel structure
snomed:Anastomosis_of_cecum_to_rectum	anastomosis of cecum to rectum
snomed:Operation_on_cecum	operation on cecum
snomed:Cecum_structure	cecum structure
snomed:Repair_of_common_bile_duct	repair of common bile duct
snomed:Anastomosis_of_cystic_duct	anastomosis of cystic duct
snomed:Cystic_duct_structure	cystic duct structure
snomed:Gastrointestinal_tract_anastomosisintestine	gastrointestinal tract anastomosis - intestine
snomed:Repair_of_duodenum	repair of duodenum
snomed:Anastomosis_of_duodenum_to_colon	anastomosis of duodenum to colon
snomed:Anastomosis_of_small_to_large_intestine	anastomosis of small-to-large intestine
snomed:Colon_structure	colon structure
snomed:Anastomosis_of_esophagus_to_intestinal_segment	anastomosis of esophagus to intestinal segment
snomed:Repair_of_esophagus	repair of esophagus
snomed:Esophageal_structure	esophageal structure
snomed:Intestinal_structure	intestinal structure
snomed:Anastomosis_of_gall_bladder	anastomosis of gall bladder
snomed:Repair_of_gallbladder	repair of gallbladder
snomed:Gallbladder_structure	gallbladder structure
snomed:Anastomosis_of_gallbladder_to_hepatic_ducts	anastomosis of gallbladder to hepatic ducts
snomed:Repair_of_hepatic_duct	repair of hepatic duct
snomed:Structure_of_hepatic_duct	structure of hepatic duct
snomed:Anastomosis_of_hepatic_duct_to_gastrointestinal_tract	anastomosis of hepatic duct to gastrointestinal tract
snomed:Anastomosis_of_hepatic_ducts	anastomosis of hepatic ducts
snomed:Gastrointestinal_anastomosis_procedure	gastrointestinal anastomosis procedure
snomed:Gastrointestinal_tract_structure	gastrointestinal tract structure
snomed:Anastomosis_of_ileum_to_cecum	anastomosis of ileum to cecum
snomed:Repair_of_ileum	repair of ileum
snomed:Ileal_structure	ileal structure
snomed:Anastomosis_of_jejunum	anastomosis of jejunum
snomed:Repair_of_jejunum	repair of jejunum
snomed:Jejunal_structure	jejunal structure
snomed:Anastomosis_of_jejunum_to_colon	anastomosis of jejunum to colon
snomed:Anastomosis_of_lymphatic	anastomosis of lymphatic
snomed:Operation_on_lymphatic_duct	operation on lymphatic duct
snomed:Structure_of_lymphatic_vessel	structure of lymphatic vessel
snomed:Lymphatic_duct	lymphatic duct
snomed:Anastomosis_of_pancreatic_duct	anastomosis of pancreatic duct
snomed:Repair_of_pancreatic_duct	repair of pancreatic duct
snomed:Pancreatic_duct_structure	pancreatic duct structure
snomed:Anastomosis_of_pharynx_to_esophagus	anastomosis of pharynx to esophagus
snomed:Pharyngoesophageal_repair	pharyngoesophageal repair
snomed:Pharyngeal_structure	pharyngeal structure
snomed:Anastomosis_of_pharynx_to_stomach	anastomosis of pharynx to stomach
snomed:Repair_of_pharynx	repair of pharynx
snomed:Anastomosis_of_pulmonary_vein_and_azygos_vein	anastomosis of pulmonary vein and azygos vein
snomed:Anastomosis_of_veins	anastomosis of veins
snomed:Repair_of_pulmonary_vein	repair of pulmonary vein
snomed:Repair_of_superior_vena_cava	repair of superior vena cava
snomed:Pulmonary_venous_structure	pulmonary venous structure
snomed:Structure_of_azygous_vein	structure of azygous vein
snomed:Anastomosis_of_renal_pelvis	anastomosis of renal pelvis
snomed:Operation_on_urinary_tract_proper	operation on urinary tract proper
snomed:Procedure_on_renal_pelvis	procedure on renal pelvis
snomed:Renal_anastomosis	renal anastomosis
snomed:Repair_of_retroperitoneal_tissue	repair of retroperitoneal tissue
snomed:Renal_pelvis_structure	renal pelvis structure
snomed:Anastomosis_of_small_intestine_to_rectal_stump	anastomosis of small intestine to rectal stump
snomed:Small_intestinal_structure	small intestinal structure
snomed:Repair_of_small_intestine	repair of small intestine
snomed:Large_intestinal_structure	large intestinal structure
snomed:Repair_of_stomach	repair of stomach
snomed:Anastomosis_of_stomach_to_duodenum	anastomosis of stomach to duodenum
snomed:Anastomosis_of_ureter	anastomosis of ureter
snomed:Repair_of_ureter	repair of ureter
snomed:Anastomosis_of_ureter_to_bladder	anastomosis of ureter to bladder
snomed:Anastomosis_of_urinary_bladder	anastomosis of urinary bladder
snomed:Repair_of_urinary_bladder	repair of urinary bladder
snomed:Repair_of_vein	repair of vein
snomed:Venous_structure	venous structure
snomed:Constructionaction	construction - action
snomed:Anatomical_feature	anatomical feature
snomed:Anatomical_spatial_entity	anatomical spatial entity
snomed:Anatomical_junction	anatomical junction
snomed:Anatomical_landmark	anatomical landmark
snomed:Anatomical_line	anatomical line
snomed:Associated_topography	associated topography
snomed:Anatomical_neck_humerus	anatomical neck humerus
snomed:Neck_of_humerus	neck of humerus
snomed:Anatomical_organizational_pattern	anatomical organizational pattern
snomed:Anatomical_orifice	anatomical orifice
snomed:Anatomical_part_descriptor	anatomical part descriptor
snomed:Relative_sites	relative sites
snomed:Anatomical_position	anatomical position
snomed:Body_position_finding	body position finding
snomed:Position_of_body_and_posture	position of body and posture
snomed:Anatomical_reference_line	anatomical reference line
snomed:Anatomical_reference_line_or_plane	anatomical reference line or plane
snomed:Surface_topography	surface topography
snomed:Anatomical_reference_plane	anatomical reference plane
snomed:Anatomical_relationship_descriptor	anatomical relationship descriptor
snomed:Anatomical_snuffbox	anatomical snuffbox
snomed:Structure_of_surface_region_of_wrist	structure of surface region of wrist
snomed:Physical_anatomical_entity	physical anatomical entity
snomed:Anatomical_structure	anatomical structure
